TechSupport,Dependents,StreamingMovies,PaymentMethod,OnlineBackup,OnlineSecurity,monthly_charges_bins,PhoneService,InternetService,MultipleLines,gender,Partner,SeniorCitizen,StreamingTV,PaperlessBilling,tenure_bins,Contract,DeviceProtection,customerID,Churn
No,No,No,Mailed check,No,No,"(18.148999999999997, 28.3]",No,DSL,No phone service,Male,Yes,No,No,No,"(-0.073, 7.2]",Month-to-month,No,e2c80bd2-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,Yes,Yes,"(88.6, 98.65]",Yes,DSL,Yes,Female,Yes,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,d8fd72ea-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,No,"(38.35, 48.4]",Yes,DSL,No,Male,No,No,No,No,"(-0.073, 7.2]",Month-to-month,No,d7ceeea8-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,No,"(68.5, 78.55]",Yes,Fiber optic,No,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d8040692-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(-0.073, 7.2]",Month-to-month,No internet service,d7c7e144-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Electronic check,No,No,"(48.4, 58.45]",Yes,DSL,No,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,e89b10a4-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),No,Yes,"(58.45, 68.5]",No,DSL,No phone service,Female,Yes,No,Yes,No,"(28.8, 36.0]",Two year,Yes,e03d0e26-82c9-11ec-954a-acde48001122,0
No,No,No,Bank transfer (automatic),No,Yes,"(58.45, 68.5]",Yes,DSL,No,Male,No,Yes,Yes,No,"(-0.073, 7.2]",Month-to-month,Yes,e5258184-82c9-11ec-954a-acde48001122,0
Yes,Yes,No,Credit card (automatic),No,Yes,"(38.35, 48.4]",No,DSL,No phone service,Female,Yes,No,Yes,Yes,"(28.8, 36.0]",Two year,No,dedb3896-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,No,Yes,"(78.55, 88.6]",Yes,DSL,No,Male,No,No,Yes,No,"(21.6, 28.8]",One year,Yes,dde9d9ec-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(68.5, 78.55]",Yes,Fiber optic,Yes,Female,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d7ce13c0-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Electronic check,Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,Yes,Yes,Yes,Yes,"(64.8, 72.0]",One year,Yes,d94664b4-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,Yes,Yes,"(88.6, 98.65]",Yes,Fiber optic,No,Female,No,No,Yes,Yes,"(-0.073, 7.2]",Month-to-month,No,e2b9f5ba-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Credit card (automatic),No,No,"(28.3, 38.35]",No,DSL,No phone service,Female,Yes,No,No,Yes,"(14.4, 21.6]",Month-to-month,No,e8502ab2-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Male,Yes,No,No internet service,No,"(64.8, 72.0]",Two year,No internet service,d8212ee8-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,No,"(-0.073, 7.2]",Month-to-month,No internet service,dc552d02-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(68.5, 78.55]",Yes,Fiber optic,Yes,Female,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d7ce15f0-82c9-11ec-954a-acde48001122,1
Yes,No,Yes,Credit card (automatic),Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,Yes,Female,Yes,Yes,Yes,Yes,"(64.8, 72.0]",Two year,Yes,d842a5c8-82c9-11ec-954a-acde48001122,0
Yes,No,No,Mailed check,Yes,Yes,"(38.35, 48.4]",No,DSL,No phone service,Female,No,No,No,No,"(14.4, 21.6]",One year,Yes,e0038ac0-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,No,"(7.2, 14.4]",Month-to-month,No internet service,d80c967c-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,Yes,No,No internet service,No,"(64.8, 72.0]",Two year,No internet service,d8340a04-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,Yes,No,No internet service,No,"(14.4, 21.6]",Month-to-month,No internet service,d7e4bb70-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(88.6, 98.65]",Yes,Fiber optic,No,Male,No,No,Yes,Yes,"(-0.073, 7.2]",Month-to-month,No,d7f15f42-82c9-11ec-954a-acde48001122,0
No,No,No,Credit card (automatic),Yes,Yes,"(48.4, 58.45]",Yes,DSL,Yes,Male,No,Yes,No,Yes,"(14.4, 21.6]",Month-to-month,No,e5ef52c0-82c9-11ec-954a-acde48001122,0
No,Yes,No,Credit card (automatic),No,Yes,"(68.5, 78.55]",Yes,DSL,Yes,Male,Yes,No,Yes,No,"(64.8, 72.0]",Two year,Yes,e722df90-82c9-11ec-954a-acde48001122,0
No,No,No,Bank transfer (automatic),Yes,Yes,"(88.6, 98.65]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,Yes,"(43.2, 50.4]",Month-to-month,No,e428b33c-82c9-11ec-954a-acde48001122,0
No,Yes,No,Electronic check,Yes,Yes,"(48.4, 58.45]",Yes,DSL,No,Male,No,No,No,Yes,"(43.2, 50.4]",Month-to-month,No,e6713790-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,Yes,Yes,"(48.4, 58.45]",Yes,DSL,No,Female,No,No,No,No,"(-0.073, 7.2]",Month-to-month,No,e22145cc-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(38.35, 48.4]",Yes,DSL,No,Female,No,Yes,No,No,"(-0.073, 7.2]",Month-to-month,No,d9bc75b4-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(18.148999999999997, 28.3]",No,DSL,No phone service,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d823c702-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(28.8, 36.0]",Two year,No internet service,d9590e48-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,No,"(64.8, 72.0]",Two year,No internet service,d7faa57a-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Electronic check,Yes,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Female,Yes,No,No,No,"(43.2, 50.4]",One year,Yes,e7a909bc-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Bank transfer (automatic),No,No,"(68.5, 78.55]",Yes,DSL,Yes,Female,Yes,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,e6cfb9b4-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(78.55, 88.6]",Yes,Fiber optic,No,Female,No,No,No,Yes,"(7.2, 14.4]",Month-to-month,No,d8ba227e-82c9-11ec-954a-acde48001122,0
Yes,Yes,No,Credit card (automatic),Yes,No,"(48.4, 58.45]",Yes,DSL,No,Female,Yes,No,No,Yes,"(43.2, 50.4]",One year,No,df270262-82c9-11ec-954a-acde48001122,0
No,No,No,Credit card (automatic),Yes,No,"(78.55, 88.6]",Yes,Fiber optic,No,Male,Yes,No,Yes,Yes,"(43.2, 50.4]",Month-to-month,No,e5df6ed2-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Electronic check,Yes,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,Yes,"(-0.073, 7.2]",Month-to-month,No,e7b59c2c-82c9-11ec-954a-acde48001122,0
No,No,Yes,Bank transfer (automatic),Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,Yes,"(64.8, 72.0]",One year,Yes,e3db7194-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Electronic check,No,No,"(98.65, 108.7]",Yes,Fiber optic,No,Female,Yes,No,Yes,Yes,"(36.0, 43.2]",Two year,Yes,dd5400e8-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Female,No,No,No internet service,Yes,"(64.8, 72.0]",Two year,No internet service,dc634dec-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,e18175d8-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(38.35, 48.4]",No,DSL,No phone service,Female,Yes,Yes,Yes,Yes,"(14.4, 21.6]",Month-to-month,Yes,e9600eb8-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,No,"(78.55, 88.6]",Yes,Fiber optic,No,Male,No,No,Yes,Yes,"(-0.073, 7.2]",Month-to-month,No,e1daba3a-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,No,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,Yes,Yes,Yes,Yes,"(57.6, 64.8]",Month-to-month,No,de981d54-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Credit card (automatic),Yes,Yes,"(78.55, 88.6]",Yes,DSL,Yes,Male,No,No,No,Yes,"(64.8, 72.0]",One year,Yes,e12333ec-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Male,No,No,No internet service,No,"(50.4, 57.6]",Two year,No internet service,d91da628-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Male,No,No,No internet service,No,"(21.6, 28.8]",One year,No internet service,dc5c3a20-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,Yes,"(48.4, 58.45]",No,DSL,No phone service,Female,Yes,No,Yes,No,"(36.0, 43.2]",Month-to-month,Yes,e8de4c16-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Female,Yes,No,No internet service,No,"(57.6, 64.8]",Two year,No internet service,d91bf06c-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Credit card (automatic),Yes,No,"(88.6, 98.65]",Yes,Fiber optic,No,Male,No,No,No,Yes,"(36.0, 43.2]",One year,No,e13e1dd8-82c9-11ec-954a-acde48001122,0
No,Yes,No,Credit card (automatic),Yes,Yes,"(88.6, 98.65]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,Yes,"(57.6, 64.8]",One year,No,e7931710-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),No,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,No,"(57.6, 64.8]",One year,No,e02f700e-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,Yes,"(57.6, 64.8]",Two year,No internet service,d9247282-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,Yes,"(14.4, 21.6]",Month-to-month,No internet service,dc957f1a-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,No,"(36.0, 43.2]",Two year,No internet service,d8445b7a-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),Yes,No,"(98.65, 108.7]",Yes,Fiber optic,No,Female,No,No,Yes,Yes,"(43.2, 50.4]",Two year,Yes,e1885d1c-82c9-11ec-954a-acde48001122,0
No,No,No,Bank transfer (automatic),No,No,"(78.55, 88.6]",Yes,Fiber optic,Yes,Female,No,No,No,No,"(14.4, 21.6]",Month-to-month,Yes,e4d122ce-82c9-11ec-954a-acde48001122,0
Yes,No,No,Bank transfer (automatic),Yes,Yes,"(78.55, 88.6]",Yes,Fiber optic,No,Female,No,Yes,No,Yes,"(43.2, 50.4]",Month-to-month,No,db7f8a58-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Credit card (automatic),No,Yes,"(88.6, 98.65]",Yes,Fiber optic,No,Male,Yes,No,Yes,No,"(28.8, 36.0]",Month-to-month,No,e8b00716-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(88.6, 98.65]",Yes,Fiber optic,No,Male,Yes,No,Yes,Yes,"(28.8, 36.0]",One year,Yes,d9793bbe-82c9-11ec-954a-acde48001122,0
No,Yes,No,Electronic check,No,Yes,"(28.3, 38.35]",No,DSL,No phone service,Female,Yes,No,No,Yes,"(7.2, 14.4]",Month-to-month,No,e69f6cf0-82c9-11ec-954a-acde48001122,0
No,No,No,Bank transfer (automatic),No,No,"(38.35, 48.4]",Yes,DSL,No,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d8084b80-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(68.5, 78.55]",Yes,Fiber optic,No,Male,Yes,Yes,No,Yes,"(14.4, 21.6]",Month-to-month,No,e56dbec2-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(68.5, 78.55]",Yes,Fiber optic,No,Female,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d7cb7818-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,No,"(18.148999999999997, 28.3]",No,DSL,No phone service,Female,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d835c7c2-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,Yes,Yes,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,d9035ffc-82c9-11ec-954a-acde48001122,0
No,No,No,Bank transfer (automatic),Yes,Yes,"(38.35, 48.4]",No,DSL,No phone service,Female,Yes,No,Yes,No,"(21.6, 28.8]",One year,Yes,e4686e46-82c9-11ec-954a-acde48001122,0
No,No,No,Credit card (automatic),No,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Female,No,No,Yes,Yes,"(21.6, 28.8]",Month-to-month,Yes,e47be8c2-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(48.4, 58.45]",Yes,DSL,No,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d86f0726-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Credit card (automatic),No,Yes,"(78.55, 88.6]",Yes,DSL,No,Female,Yes,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,da6158a4-82c9-11ec-954a-acde48001122,0
No,No,Yes,Bank transfer (automatic),No,No,"(28.3, 38.35]",No,DSL,No phone service,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,e2371ffa-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Mailed check,No,Yes,"(78.55, 88.6]",Yes,DSL,Yes,Male,Yes,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,dc651050-82c9-11ec-954a-acde48001122,0
No,No,No,Credit card (automatic),No,Yes,"(48.4, 58.45]",Yes,DSL,No,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,e483db04-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Electronic check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Male,No,No,No internet service,Yes,"(28.8, 36.0]",Month-to-month,No internet service,dc3804d4-82c9-11ec-954a-acde48001122,0
No,No,Yes,Mailed check,No,No,"(48.4, 58.45]",Yes,DSL,No,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d9861370-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Male,Yes,No,No internet service,No,"(64.8, 72.0]",Two year,No internet service,d7e3e362-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Credit card (automatic),Yes,No,"(98.65, 108.7]",Yes,Fiber optic,No,Male,Yes,No,Yes,Yes,"(57.6, 64.8]",One year,Yes,e1498c0e-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Credit card (automatic),No,Yes,"(108.7, 118.75]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,Yes,"(43.2, 50.4]",One year,Yes,e0e323ba-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,Yes,"(58.45, 68.5]",Yes,DSL,Yes,Female,No,No,No,Yes,"(14.4, 21.6]",Month-to-month,Yes,e24c8ff2-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,Yes,"(64.8, 72.0]",One year,Yes,e1825322-82c9-11ec-954a-acde48001122,0
No,No,Yes,Bank transfer (automatic),No,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Female,No,No,Yes,No,"(7.2, 14.4]",Month-to-month,No,e3d1c018-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,Yes,Yes,"(48.4, 58.45]",Yes,DSL,No,Female,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,e2efcf0a-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,Yes,No,"(78.55, 88.6]",Yes,Fiber optic,Yes,Male,No,No,No,Yes,"(21.6, 28.8]",Month-to-month,No,d8f78c04-82c9-11ec-954a-acde48001122,0
No,Yes,No,Mailed check,Yes,No,"(48.4, 58.45]",Yes,DSL,No,Female,Yes,No,No,No,"(36.0, 43.2]",Month-to-month,No,e6c1809c-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(38.35, 48.4]",Yes,DSL,No,Male,No,No,No,No,"(-0.073, 7.2]",Month-to-month,No,d7e8fa96-82c9-11ec-954a-acde48001122,0
No,No,Yes,Bank transfer (automatic),No,Yes,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,No,No,Yes,Yes,"(28.8, 36.0]",Month-to-month,No,e3d543fa-82c9-11ec-954a-acde48001122,0
No,No,Yes,Mailed check,Yes,Yes,"(68.5, 78.55]",Yes,DSL,No,Male,Yes,No,Yes,Yes,"(50.4, 57.6]",One year,No,ea716248-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,No,No,Yes,Yes,"(50.4, 57.6]",One year,Yes,eaa24354-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,Yes,No internet service,Yes,"(21.6, 28.8]",One year,No internet service,dce737d8-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,Yes,"(36.0, 43.2]",Two year,No internet service,d888e9ac-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,No,No,Yes,Yes,"(43.2, 50.4]",One year,Yes,eb15453e-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,No,"(28.8, 36.0]",Two year,No internet service,d86b9b9a-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Credit card (automatic),Yes,Yes,"(98.65, 108.7]",Yes,Fiber optic,No,Male,Yes,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,e87fcae2-82c9-11ec-954a-acde48001122,0
No,No,No,Bank transfer (automatic),No,Yes,"(58.45, 68.5]",Yes,DSL,No,Male,Yes,No,Yes,Yes,"(21.6, 28.8]",One year,No,e5249f30-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,Yes,No,No internet service,No,"(64.8, 72.0]",Two year,No internet service,d824a21c-82c9-11ec-954a-acde48001122,0
Yes,Yes,No,Credit card (automatic),Yes,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,Yes,"(50.4, 57.6]",Month-to-month,No,df3c0284-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Credit card (automatic),Yes,No,"(78.55, 88.6]",Yes,DSL,No,Male,No,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,dd20dd58-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Electronic check,Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,Yes,Yes,Yes,Yes,"(64.8, 72.0]",One year,Yes,dbca295a-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,No,No,Yes,Yes,"(64.8, 72.0]",One year,No,de34071a-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Bank transfer (automatic),Yes,Yes,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,Yes,No,No,Yes,"(50.4, 57.6]",Two year,Yes,da8db6b0-82c9-11ec-954a-acde48001122,0
No,No,Yes,Mailed check,No,Yes,"(88.6, 98.65]",Yes,Fiber optic,Yes,Male,No,No,No,No,"(-0.073, 7.2]",Month-to-month,No,ea15cf5a-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,No,"(-0.073, 7.2]",Month-to-month,No internet service,d7c6faae-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,Yes,"(68.5, 78.55]",Yes,Fiber optic,No,Female,No,No,No,Yes,"(7.2, 14.4]",Month-to-month,No,e59e006e-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,No,"(7.2, 14.4]",One year,No internet service,d8438088-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,d8393506-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,No,"(57.6, 64.8]",Two year,No internet service,d80bb9f0-82c9-11ec-954a-acde48001122,0
Yes,No,No,Electronic check,Yes,No,"(58.45, 68.5]",Yes,DSL,No,Male,No,No,Yes,Yes,"(7.2, 14.4]",Month-to-month,No,db2269fe-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,Yes,Male,No,No,Yes,Yes,"(64.8, 72.0]",One year,Yes,d83bca96-82c9-11ec-954a-acde48001122,0
Yes,No,No,Electronic check,No,No,"(28.3, 38.35]",No,DSL,No phone service,Male,Yes,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,dad076b2-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Male,No,Yes,Yes,Yes,"(7.2, 14.4]",Month-to-month,No,d97f3406-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Credit card (automatic),Yes,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Female,Yes,No,No,Yes,"(64.8, 72.0]",Two year,Yes,e8b55a36-82c9-11ec-954a-acde48001122,0
No,No,No,Bank transfer (automatic),No,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Female,No,No,Yes,Yes,"(64.8, 72.0]",One year,Yes,e4fc7a82-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,Yes,No internet service,Yes,"(57.6, 64.8]",Two year,No internet service,dc697f14-82c9-11ec-954a-acde48001122,0
No,Yes,No,Electronic check,Yes,No,"(48.4, 58.45]",Yes,DSL,Yes,Male,Yes,No,No,No,"(43.2, 50.4]",Month-to-month,No,e6adb6ca-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,Yes,"(38.35, 48.4]",Yes,DSL,No,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,e5d1465e-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,Yes,"(78.55, 88.6]",Yes,Fiber optic,No,Female,Yes,Yes,No,Yes,"(36.0, 43.2]",Month-to-month,No,e94185ec-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,Yes,"(88.6, 98.65]",Yes,Fiber optic,No,Female,Yes,No,Yes,Yes,"(50.4, 57.6]",One year,No,e93b2562-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,Yes,Yes,Yes,Yes,"(64.8, 72.0]",Month-to-month,Yes,d857fba8-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Credit card (automatic),Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,d805be1a-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Electronic check,No,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Female,Yes,No,No,Yes,"(21.6, 28.8]",Month-to-month,Yes,e7bcf81e-82c9-11ec-954a-acde48001122,0
No,Yes,No,Credit card (automatic),Yes,Yes,"(48.4, 58.45]",Yes,DSL,No,Female,Yes,No,No,No,"(-0.073, 7.2]",Month-to-month,No,e77b8820-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Credit card (automatic),Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,No,"(64.8, 72.0]",Two year,Yes,d84ce8bc-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,Yes,Yes,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,No,Yes,Yes,Yes,"(28.8, 36.0]",One year,Yes,ea899da4-82c9-11ec-954a-acde48001122,0
No,No,No,Bank transfer (automatic),No,No,"(68.5, 78.55]",Yes,Fiber optic,No,Male,Yes,Yes,No,Yes,"(14.4, 21.6]",Month-to-month,No,e4c01e98-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,Yes,Female,No,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,d8fbc422-82c9-11ec-954a-acde48001122,0
