InternetService,Dependents,Partner,StreamingTV,OnlineSecurity,PaperlessBilling,SeniorCitizen,StreamingMovies,tenure_bins,PaymentMethod,DeviceProtection,Contract,TechSupport,monthly_charges_bins,MultipleLines,gender,PhoneService,OnlineBackup,customerID,Churn
DSL,Yes,Yes,No,Yes,Yes,No,No,"(21.6, 28.8]",Credit card (automatic),Yes,One year,No,"(48.4, 58.45]",No,Male,Yes,No,d4e4e414-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,Yes,Yes,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,c44d4650-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,bf0ee8ec-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c4f6d13e-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(21.6, 28.8]",Credit card (automatic),No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,cfb56a68-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Male,Yes,No,d1a87aae-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,Yes,No,No,No,"(36.0, 43.2]",Bank transfer (automatic),Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,Yes,d201bf42-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,Yes,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Male,Yes,No,bfe6f002-7b0c-11ec-a944-acde48001122,1
DSL,No,Yes,Yes,No,Yes,No,Yes,"(50.4, 57.6]",Bank transfer (automatic),Yes,Two year,Yes,"(48.4, 58.45]",No phone service,Male,No,Yes,cb97266a-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,Yes,Yes,Yes,No,No,"(7.2, 14.4]",Mailed check,No,Month-to-month,Yes,"(68.5, 78.55]",No,Male,Yes,Yes,cbf14dfc-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,bf01ff24-7b0c-11ec-a944-acde48001122,1
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,becc6d64-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,Yes,Yes,Yes,No,"(21.6, 28.8]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,No,c1d22382-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,No,Yes,Yes,No,No,"(57.6, 64.8]",Credit card (automatic),Yes,One year,No,"(78.55, 88.6]",No,Female,Yes,No,c01d04bc-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,No,No,No,No,"(57.6, 64.8]",Bank transfer (automatic),Yes,Two year,Yes,"(38.35, 48.4]",No phone service,Male,No,Yes,d34e2d72-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,Yes,Yes,No,No,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,No,"(88.6, 98.65]",Yes,Male,Yes,Yes,c87315fc-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(48.4, 58.45]",No phone service,Female,No,No,cc9b94a6-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,No,No,Yes,No,Yes,"(57.6, 64.8]",Electronic check,Yes,One year,No,"(88.6, 98.65]",Yes,Female,Yes,Yes,c9a89ece-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Bank transfer (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bf2d9350-7b0c-11ec-a944-acde48001122,1
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,becf8aee-7b0c-11ec-a944-acde48001122,1
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(21.6, 28.8]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bff5a804-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,"(14.4, 21.6]",Electronic check,Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,c8abaade-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,No,Yes,No,Yes,"(43.2, 50.4]",Bank transfer (automatic),Yes,One year,Yes,"(78.55, 88.6]",Yes,Male,Yes,Yes,caea1682-7b0c-11ec-a944-acde48001122,0
DSL,Yes,No,No,Yes,Yes,No,No,"(-0.073, 7.2]",Bank transfer (automatic),No,Two year,Yes,"(58.45, 68.5]",Yes,Male,Yes,Yes,d37818bc-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,bef25e20-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,No,"(14.4, 21.6]",Mailed check,No,Month-to-month,No,"(48.4, 58.45]",Yes,Female,Yes,No,ccf8bec4-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,No,No,No,Yes,"(21.6, 28.8]",Mailed check,Yes,One year,Yes,"(68.5, 78.55]",No,Female,Yes,Yes,ce52cc88-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(7.2, 14.4]",Mailed check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Female,Yes,No,c0494a40-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(18.148999999999997, 28.3]",No phone service,Female,No,No,bf35e33e-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,No,No,Yes,No,No,"(64.8, 72.0]",Bank transfer (automatic),No,One year,Yes,"(78.55, 88.6]",Yes,Female,Yes,Yes,c7fb9504-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,bf5ed1c2-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,bee85614-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Male,Yes,No,c0e11334-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,"(21.6, 28.8]",Credit card (automatic),No,One year,Yes,"(98.65, 108.7]",No,Female,Yes,No,c86cf5f0-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,Yes,No,No,"(64.8, 72.0]",Bank transfer (automatic),Yes,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,Yes,c41e6d80-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,No,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",Yes,Female,Yes,No,cdb02848-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,Yes,"(21.6, 28.8]",Credit card (automatic),No,Month-to-month,No,"(78.55, 88.6]",No,Male,Yes,No,d02a89a6-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,No,Yes,Yes,No,"(50.4, 57.6]",Electronic check,Yes,Month-to-month,Yes,"(48.4, 58.45]",No phone service,Female,No,Yes,cafc3844-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,Yes,Yes,Yes,Yes,"(14.4, 21.6]",Bank transfer (automatic),No,Month-to-month,No,"(58.45, 68.5]",No,Male,Yes,Yes,cca0c110-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,"(50.4, 57.6]",Bank transfer (automatic),No,One year,Yes,"(68.5, 78.55]",No,Male,Yes,No,d0a2b98a-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Bank transfer (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,c751745c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,bed16788-7b0c-11ec-a944-acde48001122,1
DSL,No,No,Yes,No,Yes,No,No,"(7.2, 14.4]",Electronic check,Yes,One year,No,"(38.35, 48.4]",No phone service,Male,No,No,cedd4a02-7b0c-11ec-a944-acde48001122,1
DSL,No,No,Yes,No,Yes,No,Yes,"(36.0, 43.2]",Electronic check,Yes,One year,No,"(48.4, 58.45]",No phone service,Male,No,No,caed1b02-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,Yes,No internet service,"(50.4, 57.6]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c53e4654-7b0c-11ec-a944-acde48001122,0
No,Yes,No,No internet service,No internet service,Yes,No,No internet service,"(57.6, 64.8]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,c736d610-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(-0.073, 7.2]",Mailed check,No,Month-to-month,Yes,"(98.65, 108.7]",Yes,Female,Yes,No,c20f7732-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,Yes,Yes,No,No,"(28.8, 36.0]",Bank transfer (automatic),No,Month-to-month,Yes,"(58.45, 68.5]",Yes,Female,Yes,No,cc283aa6-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,No,No,No,"(-0.073, 7.2]",Bank transfer (automatic),No,Month-to-month,No,"(68.5, 78.55]",Yes,Female,Yes,Yes,d05d89fa-7b0c-11ec-a944-acde48001122,1
DSL,Yes,Yes,No,Yes,Yes,No,Yes,"(28.8, 36.0]",Credit card (automatic),Yes,One year,Yes,"(48.4, 58.45]",No phone service,Male,No,Yes,d574a84c-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c6a18880-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,Yes,"(78.55, 88.6]",No,Male,Yes,No,c1500cc6-7b0c-11ec-a944-acde48001122,1
DSL,Yes,Yes,No,Yes,Yes,No,No,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(58.45, 68.5]",Yes,Male,Yes,No,d4f0308a-7b0c-11ec-a944-acde48001122,0
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Bank transfer (automatic),No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c566e186-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,No,Yes,No,No,"(7.2, 14.4]",Credit card (automatic),Yes,One year,Yes,"(38.35, 48.4]",No phone service,Female,No,Yes,cdf71578-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,No,No,Yes,"(57.6, 64.8]",Electronic check,Yes,Two year,Yes,"(78.55, 88.6]",No,Male,Yes,Yes,d4c0d93e-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,c68211ee-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,Yes,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,No,d009bcb2-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(57.6, 64.8]",Bank transfer (automatic),No,Month-to-month,Yes,"(98.65, 108.7]",Yes,Female,Yes,No,c24233fc-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Bank transfer (automatic),No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,bf12a806-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,Yes,"(50.4, 57.6]",Bank transfer (automatic),Yes,Two year,Yes,"(68.5, 78.55]",Yes,Male,Yes,Yes,cd597124-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bfd4443e-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,Yes,Yes,No,"(36.0, 43.2]",Credit card (automatic),No,Month-to-month,No,"(28.3, 38.35]",No phone service,Female,No,Yes,ce7daf8e-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(57.6, 64.8]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,bfc284e2-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,Yes,No,No,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",No,Female,Yes,No,cf744b1e-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,Yes,No,No,Yes,"(36.0, 43.2]",Electronic check,Yes,Month-to-month,No,"(58.45, 68.5]",No,Male,Yes,No,cf1369b6-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,Yes,"(57.6, 64.8]",Bank transfer (automatic),No,One year,No,"(88.6, 98.65]",Yes,Male,Yes,No,c2c9b2f0-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,Yes,No,"(7.2, 14.4]",Bank transfer (automatic),Yes,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,No,d01b2b00-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,Yes,Month-to-month,No,"(48.4, 58.45]",No,Male,Yes,Yes,c0331b62-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,No,Yes,No,No,"(64.8, 72.0]",Bank transfer (automatic),No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,Yes,c12b2c6c-7b0c-11ec-a944-acde48001122,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(21.6, 28.8]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,bf798cce-7b0c-11ec-a944-acde48001122,0
No,Yes,No,No internet service,No internet service,Yes,No,No internet service,"(28.8, 36.0]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c73f0290-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,Yes,No,No,Yes,"(64.8, 72.0]",Mailed check,No,Two year,Yes,"(58.45, 68.5]",No,Male,Yes,Yes,cc66c3ac-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,No,No,No,"(14.4, 21.6]",Credit card (automatic),Yes,One year,No,"(38.35, 48.4]",No phone service,Male,No,No,d41a8d0e-7b0c-11ec-a944-acde48001122,0
DSL,Yes,No,No,No,No,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(18.148999999999997, 28.3]",No phone service,Female,No,No,cbd9d2c6-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,No,No,Yes,"(14.4, 21.6]",Mailed check,Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,No,c46c17ba-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Female,Yes,No,bf389a0c-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(88.6, 98.65]",Yes,Male,Yes,Yes,bef350be-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(28.8, 36.0]",Credit card (automatic),Yes,Month-to-month,No,"(78.55, 88.6]",No,Male,Yes,Yes,cfb67bb0-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(21.6, 28.8]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c060d89a-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,beedc59a-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(58.45, 68.5]",No phone service,Female,No,Yes,d0890706-7b0c-11ec-a944-acde48001122,0
DSL,Yes,No,Yes,Yes,Yes,No,Yes,"(57.6, 64.8]",Electronic check,Yes,Two year,Yes,"(78.55, 88.6]",Yes,Male,Yes,No,d3c011a8-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,Yes,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,No,cfda13ea-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,Yes,"(28.3, 38.35]",No phone service,Female,No,No,cddaaaa0-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,No,No,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(48.4, 58.45]",Yes,Female,Yes,Yes,cdaac560-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,Yes,No,"(7.2, 14.4]",Electronic check,Yes,Month-to-month,No,"(48.4, 58.45]",No,Female,Yes,Yes,cd6ec9b6-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bf60a290-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,c03b71a4-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(58.45, 68.5]",Yes,Female,Yes,Yes,ccde94d6-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,"(50.4, 57.6]",Credit card (automatic),No,One year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,c930b3c8-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(78.55, 88.6]",Yes,Female,Yes,No,cbc920a2-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,Yes,"(28.8, 36.0]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,No,c29ea5d8-7b0c-11ec-a944-acde48001122,1
DSL,Yes,Yes,No,Yes,Yes,No,No,"(64.8, 72.0]",Credit card (automatic),No,Two year,Yes,"(48.4, 58.45]",No,Female,Yes,Yes,d4f38fd2-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,Yes,"(64.8, 72.0]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,c2b441c2-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,No,No,Yes,"(36.0, 43.2]",Electronic check,No,Two year,Yes,"(68.5, 78.55]",No,Female,Yes,Yes,d4cf6e90-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,Yes,No,No,Yes,"(57.6, 64.8]",Credit card (automatic),Yes,One year,Yes,"(68.5, 78.55]",No,Male,Yes,No,d507f5e4-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,becacdba-7b0c-11ec-a944-acde48001122,1
DSL,Yes,Yes,No,Yes,Yes,No,No,"(21.6, 28.8]",Bank transfer (automatic),Yes,One year,No,"(58.45, 68.5]",No,Male,Yes,Yes,d4e727d8-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,beecde00-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,Yes,No,No,No,"(7.2, 14.4]",Bank transfer (automatic),Yes,Month-to-month,No,"(78.55, 88.6]",No,Male,Yes,No,d1db1d6a-7b0c-11ec-a944-acde48001122,1
DSL,No,No,Yes,Yes,Yes,No,No,"(50.4, 57.6]",Credit card (automatic),No,Two year,No,"(58.45, 68.5]",No,Male,Yes,Yes,cb20993c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Male,Yes,Yes,bfe331e2-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,Yes,Yes,No,No,"(50.4, 57.6]",Credit card (automatic),Yes,One year,Yes,"(38.35, 48.4]",No phone service,Female,No,No,cf6db6dc-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,No,Yes,No,Yes,"(36.0, 43.2]",Electronic check,No,Month-to-month,No,"(58.45, 68.5]",No,Female,Yes,No,caef1efc-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,Yes,No,Yes,No,No,"(28.8, 36.0]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,Yes,c969d680-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,"(64.8, 72.0]",Electronic check,Yes,One year,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,c961d50c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,Yes,Yes,"(57.6, 64.8]",Bank transfer (automatic),Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,No,d1df9b74-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,Yes,No,Yes,"(28.8, 36.0]",Mailed check,No,Month-to-month,No,"(58.45, 68.5]",Yes,Male,Yes,No,ce6c76d8-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,No,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),No,Two year,No,"(58.45, 68.5]",No,Female,Yes,Yes,caad3514-7b0c-11ec-a944-acde48001122,0
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(43.2, 50.4]",Electronic check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c568dcac-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,Yes,No,No,No,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(68.5, 78.55]",Yes,Female,Yes,Yes,cc4e6c80-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,"(43.2, 50.4]",Mailed check,Yes,One year,No,"(98.65, 108.7]",Yes,Female,Yes,No,c8343166-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,Yes,No,No,No,"(36.0, 43.2]",Bank transfer (automatic),No,Month-to-month,Yes,"(58.45, 68.5]",Yes,Male,Yes,Yes,ca872efa-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(14.4, 21.6]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c4fb7720-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,No,"(21.6, 28.8]",Bank transfer (automatic),Yes,Month-to-month,No,"(78.55, 88.6]",No,Male,Yes,No,c15a116c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(28.8, 36.0]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,c465527c-7b0c-11ec-a944-acde48001122,1
No,Yes,No,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,beea2ba6-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,No,No,No,"(28.8, 36.0]",Credit card (automatic),No,Month-to-month,No,"(68.5, 78.55]",Yes,Male,Yes,No,d0f01e50-7b0c-11ec-a944-acde48001122,1
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(57.6, 64.8]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c0960088-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Electronic check,Yes,Two year,Yes,"(58.45, 68.5]",No phone service,Male,No,Yes,cbbeb0f4-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,bed16828-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,No,No,Yes,No,Yes,"(21.6, 28.8]",Electronic check,Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,No,c9a29d44-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,No,No,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,bed60a54-7b0c-11ec-a944-acde48001122,1
