TechSupport,InternetService,DeviceProtection,StreamingTV,OnlineSecurity,monthly_charges_bins,tenure_bins,OnlineBackup,PaymentMethod,Contract,Dependents,Partner,gender,SeniorCitizen,PhoneService,MultipleLines,PaperlessBilling,StreamingMovies,customerID,Churn
No,Fiber optic,No,Yes,No,"(78.55, 88.6]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Female,Yes,Yes,No,Yes,No,c54f0ce0-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Credit card (automatic),Two year,No,No,Female,No,Yes,Yes,Yes,No internet service,d3f0cf86-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,Yes,No,No,"(88.6, 98.65]","(50.4, 57.6]",No,Bank transfer (automatic),Two year,Yes,Yes,Male,No,Yes,Yes,Yes,Yes,cac1d1a8-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(57.6, 64.8]",No internet service,Bank transfer (automatic),Two year,No,Yes,Male,Yes,Yes,Yes,No,No internet service,c6f86104-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(21.6, 28.8]",Yes,Electronic check,Month-to-month,No,No,Male,Yes,Yes,Yes,Yes,No,c606710a-82c9-11ec-acdd-acde48001122,1
Yes,DSL,Yes,No,Yes,"(58.45, 68.5]","(57.6, 64.8]",Yes,Bank transfer (automatic),One year,Yes,Yes,Male,No,Yes,No,Yes,No,cd931cca-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(78.55, 88.6]","(21.6, 28.8]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,Yes,cf883312-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(36.0, 43.2]",No,Mailed check,One year,No,No,Female,No,Yes,No,Yes,Yes,d666971e-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,No,No,"(48.4, 58.45]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,No,Yes,No,c55ebad2-82c9-11ec-acdd-acde48001122,1
Yes,Fiber optic,No,Yes,No,"(98.65, 108.7]","(14.4, 21.6]",No,Bank transfer (automatic),Month-to-month,No,No,Female,No,Yes,Yes,Yes,Yes,cb4e5006-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,Yes,Yes,"(108.7, 118.75]","(50.4, 57.6]",Yes,Electronic check,One year,No,No,Female,Yes,Yes,Yes,No,Yes,d4156de6-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(43.2, 50.4]",Yes,Bank transfer (automatic),Two year,No,No,Male,No,Yes,Yes,Yes,Yes,d49cf248-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,Yes,Yes,"(48.4, 58.45]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,No,No,Male,No,No,No phone service,No,No,ca98e0d6-82c9-11ec-acdd-acde48001122,0
No,DSL,No,Yes,No,"(58.45, 68.5]","(36.0, 43.2]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,Yes,d1599d5c-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(-0.073, 7.2]",Yes,Credit card (automatic),Month-to-month,No,No,Female,Yes,Yes,No,Yes,Yes,d2cc9d10-82c9-11ec-acdd-acde48001122,1
Yes,DSL,Yes,No,No,"(58.45, 68.5]","(36.0, 43.2]",No,Credit card (automatic),Two year,No,No,Female,No,Yes,No,No,Yes,cc75034e-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Credit card (automatic),Two year,No,No,Male,Yes,Yes,No,Yes,No internet service,c72bc242-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(64.8, 72.0]",Yes,Bank transfer (automatic),One year,No,No,Female,No,Yes,Yes,Yes,No,d6d48706-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(50.4, 57.6]",Yes,Credit card (automatic),Month-to-month,No,No,Female,Yes,Yes,No,Yes,No,cf54d828-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,Yes,No,"(78.55, 88.6]","(43.2, 50.4]",Yes,Credit card (automatic),One year,Yes,Yes,Female,No,Yes,Yes,Yes,Yes,cd520bc2-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,Yes,No,"(58.45, 68.5]","(57.6, 64.8]",No,Electronic check,One year,Yes,Yes,Female,Yes,Yes,Yes,Yes,No,ce20ac16-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,Yes,Yes,"(58.45, 68.5]","(-0.073, 7.2]",No,Bank transfer (automatic),Month-to-month,No,No,Male,Yes,Yes,No,No,No,ce6fbefa-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,One year,Yes,Yes,Female,No,Yes,No,No,No internet service,c51a16fc-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,Yes,Yes,"(68.5, 78.55]","(21.6, 28.8]",No,Bank transfer (automatic),One year,No,No,Male,No,Yes,No,No,Yes,ccd47bd0-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(21.6, 28.8]",No,Bank transfer (automatic),Month-to-month,No,No,Female,No,Yes,Yes,No,No,cff451d2-82c9-11ec-acdd-acde48001122,1
Yes,Fiber optic,No,No,Yes,"(88.6, 98.65]","(21.6, 28.8]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,Yes,cbf76664-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(7.2, 14.4]",No internet service,Electronic check,Month-to-month,No,No,Male,No,Yes,No,Yes,No internet service,c5ec068a-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,Yes,Yes,Yes,c4e83812-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(43.2, 50.4]",No,Electronic check,Month-to-month,No,Yes,Male,Yes,Yes,Yes,Yes,Yes,c51aea5a-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(28.8, 36.0]",No internet service,Mailed check,One year,Yes,No,Male,No,Yes,No,No,No internet service,ca13420a-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,No,No,"(48.4, 58.45]","(14.4, 21.6]",No,Electronic check,Month-to-month,Yes,Yes,Male,No,Yes,No,Yes,No,ceb7b53e-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,Yes,Yes,"(58.45, 68.5]","(43.2, 50.4]",No,Credit card (automatic),One year,No,Yes,Female,No,Yes,No,Yes,No,ce56a992-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(78.55, 88.6]","(7.2, 14.4]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,Yes,Yes,Yes,cf9643f8-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(57.6, 64.8]",Yes,Bank transfer (automatic),One year,No,Yes,Male,No,Yes,Yes,No,Yes,d47785d0-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Mailed check,Two year,No,Yes,Female,No,Yes,Yes,No,No internet service,c69631f0-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,Yes,Yes,"(78.55, 88.6]","(21.6, 28.8]",No,Bank transfer (automatic),Month-to-month,Yes,Yes,Male,No,Yes,Yes,No,Yes,cc8c4ebe-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,Yes,"(58.45, 68.5]","(50.4, 57.6]",Yes,Credit card (automatic),Two year,Yes,Yes,Male,No,Yes,No,No,No,c76377d2-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,Yes,"(88.6, 98.65]","(7.2, 14.4]",No,Mailed check,Month-to-month,No,No,Male,No,Yes,Yes,No,Yes,d5fef94c-82c9-11ec-acdd-acde48001122,1
Yes,DSL,No,Yes,Yes,"(48.4, 58.45]","(36.0, 43.2]",Yes,Credit card (automatic),Month-to-month,No,No,Male,No,No,No phone service,Yes,No,cd048906-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(28.8, 36.0]",Yes,Electronic check,Month-to-month,No,No,Male,Yes,Yes,Yes,Yes,No,d674dcf2-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(43.2, 50.4]",No internet service,Mailed check,One year,Yes,Yes,Male,No,Yes,No,No,No internet service,c98f6912-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(7.2, 14.4]",No internet service,Credit card (automatic),One year,No,Yes,Male,Yes,Yes,No,No,No internet service,c9218f28-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(43.2, 50.4]",No internet service,Electronic check,Two year,No,No,Male,No,Yes,No,No,No internet service,c9698210-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,Yes,"(58.45, 68.5]","(14.4, 21.6]",Yes,Mailed check,One year,No,Yes,Male,No,Yes,No,No,Yes,d2526734-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,No,No,Yes,"(78.55, 88.6]","(-0.073, 7.2]",Yes,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,No,cba7a188-82c9-11ec-acdd-acde48001122,1
Yes,DSL,Yes,No,No,"(38.35, 48.4]","(36.0, 43.2]",Yes,Bank transfer (automatic),Month-to-month,No,No,Female,No,No,No phone service,No,No,cc19b2d2-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,Yes,No,"(68.5, 78.55]","(14.4, 21.6]",No,Mailed check,Month-to-month,No,No,Female,No,Yes,Yes,Yes,No,cd188820-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Mailed check,Month-to-month,Yes,Yes,Male,No,Yes,No,Yes,No,c5312a4a-82c9-11ec-acdd-acde48001122,1
No,DSL,No,No,Yes,"(48.4, 58.45]","(28.8, 36.0]",Yes,Bank transfer (automatic),Month-to-month,No,No,Female,No,Yes,No,Yes,No,d1e72d3e-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,Yes,"(88.6, 98.65]","(64.8, 72.0]",Yes,Credit card (automatic),Two year,No,Yes,Male,No,Yes,Yes,Yes,No,d3d6aaf2-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(21.6, 28.8]",No internet service,Bank transfer (automatic),Two year,Yes,Yes,Female,No,Yes,No,No,No internet service,c8b27d5e-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,No,"(58.45, 68.5]","(21.6, 28.8]",Yes,Electronic check,Month-to-month,Yes,Yes,Female,No,Yes,Yes,Yes,No,c7cffa10-82c9-11ec-acdd-acde48001122,1
No,DSL,No,No,No,"(28.3, 38.35]","(-0.073, 7.2]",Yes,Electronic check,Month-to-month,No,Yes,Female,Yes,No,No phone service,Yes,No,d0d51456-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No,Mailed check,Month-to-month,No,No,Female,Yes,No,No phone service,Yes,No,c66c82ec-82c9-11ec-acdd-acde48001122,1
Yes,DSL,Yes,No,No,"(58.45, 68.5]","(7.2, 14.4]",Yes,Electronic check,Month-to-month,No,No,Male,No,Yes,No,Yes,No,cc7ba8d4-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,Yes,"(58.45, 68.5]","(64.8, 72.0]",Yes,Bank transfer (automatic),One year,No,Yes,Male,Yes,Yes,No,Yes,No,c7ad4858-82c9-11ec-acdd-acde48001122,0
No,DSL,No,Yes,No,"(68.5, 78.55]","(43.2, 50.4]",Yes,Credit card (automatic),Month-to-month,No,Yes,Female,No,Yes,No,Yes,Yes,d172f4f0-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Month-to-month,Yes,No,Female,No,Yes,Yes,No,No internet service,c5d55354-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,No,Yes,No,"(98.65, 108.7]","(36.0, 43.2]",Yes,Credit card (automatic),One year,No,No,Male,No,Yes,Yes,Yes,Yes,cb1ae1b2-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Month-to-month,No,No,Female,No,Yes,No,Yes,No internet service,c46db772-82c9-11ec-acdd-acde48001122,1
No,DSL,No,Yes,No,"(28.3, 38.35]","(21.6, 28.8]",No,Bank transfer (automatic),Month-to-month,No,Yes,Female,No,No,No phone service,Yes,No,d236d456-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,No,"(58.45, 68.5]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,No,Yes,No,cfced40c-82c9-11ec-acdd-acde48001122,1
Yes,DSL,No,No,No,"(28.3, 38.35]","(7.2, 14.4]",No,Electronic check,Month-to-month,No,No,Female,Yes,No,No phone service,Yes,No,c6c1c07c-82c9-11ec-acdd-acde48001122,1
No,DSL,Yes,No,Yes,"(68.5, 78.55]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,No,Yes,Female,No,Yes,No,No,Yes,ce38008c-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,Yes,"(48.4, 58.45]","(7.2, 14.4]",No,Mailed check,Month-to-month,No,No,Male,No,Yes,No,Yes,No,d2084a96-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,No,"(58.45, 68.5]","(57.6, 64.8]",Yes,Credit card (automatic),Two year,No,Yes,Female,No,Yes,Yes,Yes,No,c7e674a2-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,No,No,"(38.35, 48.4]","(-0.073, 7.2]",Yes,Electronic check,Month-to-month,No,No,Male,Yes,No,No phone service,Yes,Yes,d1b5b394-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,No,"(68.5, 78.55]","(36.0, 43.2]",No,Bank transfer (automatic),One year,No,No,Male,No,Yes,No,Yes,No,cf47976c-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,Yes,No,"(88.6, 98.65]","(57.6, 64.8]",Yes,Electronic check,One year,No,Yes,Male,Yes,Yes,No,Yes,Yes,d2b8f972-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(64.8, 72.0]",Yes,Electronic check,Month-to-month,No,Yes,Male,Yes,Yes,Yes,Yes,Yes,c52c1348-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(21.6, 28.8]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,No,Yes,Yes,d68f977c-82c9-11ec-acdd-acde48001122,1
No,DSL,No,No,No,"(38.35, 48.4]","(-0.073, 7.2]",No,Mailed check,Month-to-month,No,No,Female,No,Yes,No,No,No,c47a59e6-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Month-to-month,Yes,No,Male,No,Yes,No,No,No internet service,c4703ec0-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Month-to-month,Yes,Yes,Male,No,Yes,No,No,No internet service,c47cc60e-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,No,No,No,c48198dc-82c9-11ec-acdd-acde48001122,1
No,DSL,No,No,No,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,No,No,No phone service,Yes,No,c4d4f07c-82c9-11ec-acdd-acde48001122,1
No,DSL,No,No,No,"(28.3, 38.35]","(-0.073, 7.2]",Yes,Credit card (automatic),Month-to-month,No,No,Male,No,No,No phone service,Yes,No,d0c9f1d4-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,No,"(68.5, 78.55]","(14.4, 21.6]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,Yes,Yes,No,d0147840-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,Yes,"(78.55, 88.6]","(36.0, 43.2]",No,Mailed check,Month-to-month,Yes,No,Male,Yes,Yes,Yes,Yes,No,d5c6a11e-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Credit card (automatic),Two year,No,No,Female,No,Yes,Yes,No,No internet service,c5f01482-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(88.6, 98.65]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,No,No,Yes,d281b958-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,Yes,No,"(88.6, 98.65]","(21.6, 28.8]",Yes,Electronic check,Month-to-month,No,Yes,Female,Yes,Yes,No,Yes,Yes,d2e17244-82c9-11ec-acdd-acde48001122,1
No,DSL,Yes,No,No,"(58.45, 68.5]","(50.4, 57.6]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,Yes,ce964f2a-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(78.55, 88.6]","(21.6, 28.8]",No,Electronic check,Month-to-month,Yes,Yes,Female,No,Yes,No,Yes,Yes,c592716a-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(7.2, 14.4]",No internet service,Mailed check,One year,No,No,Female,No,Yes,No,No,No internet service,c4d85c80-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Month-to-month,No,No,Female,No,Yes,No,Yes,No internet service,c46db72c-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Bank transfer (automatic),Month-to-month,No,No,Male,No,Yes,No,Yes,No internet service,c5d485aa-82c9-11ec-acdd-acde48001122,1
Yes,DSL,No,No,Yes,"(28.3, 38.35]","(21.6, 28.8]",No,Mailed check,Two year,Yes,No,Male,No,No,No phone service,No,No,c8080496-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,No,No,"(28.3, 38.35]","(64.8, 72.0]",No,Credit card (automatic),One year,No,Yes,Male,Yes,No,No phone service,Yes,No,d1b84564-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,Yes,No,"(38.35, 48.4]","(57.6, 64.8]",Yes,Electronic check,Month-to-month,No,No,Female,Yes,No,No phone service,Yes,No,c7a78198-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(14.4, 21.6]",No,Electronic check,Month-to-month,No,Yes,Male,Yes,Yes,No,No,Yes,cffe8a58-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(28.8, 36.0]",Yes,Electronic check,One year,No,No,Male,Yes,Yes,No,Yes,Yes,d4231f86-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,Yes,"(108.7, 118.75]","(57.6, 64.8]",Yes,Electronic check,One year,No,Yes,Male,Yes,Yes,Yes,Yes,Yes,d4120868-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,No,No,"(78.55, 88.6]","(7.2, 14.4]",Yes,Electronic check,Month-to-month,No,No,Female,No,Yes,Yes,Yes,No,d62c90b4-82c9-11ec-acdd-acde48001122,1
Yes,Fiber optic,Yes,Yes,Yes,"(108.7, 118.75]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,No,Yes,Female,Yes,Yes,Yes,Yes,Yes,c642641c-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,Yes,No,No,"(88.6, 98.65]","(64.8, 72.0]",Yes,Bank transfer (automatic),One year,No,No,Female,No,Yes,Yes,Yes,No,cc117572-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,Yes,Yes,"(78.55, 88.6]","(64.8, 72.0]",No,Bank transfer (automatic),Two year,No,No,Female,No,Yes,No,No,Yes,ca392614-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,No,No,"(78.55, 88.6]","(7.2, 14.4]",No,Bank transfer (automatic),Month-to-month,No,No,Female,Yes,Yes,Yes,Yes,No,d63496ce-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,Yes,No,"(68.5, 78.55]","(43.2, 50.4]",No,Mailed check,Two year,No,No,Female,No,Yes,No,No,Yes,cd1b0c1c-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Credit card (automatic),Month-to-month,No,No,Female,No,Yes,No,No,No internet service,c477148e-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(48.4, 58.45]","(-0.073, 7.2]",No,Mailed check,Month-to-month,No,No,Female,No,Yes,Yes,Yes,No,c4df79ac-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(21.6, 28.8]",No internet service,Bank transfer (automatic),Month-to-month,No,No,Female,No,Yes,No,Yes,No internet service,c8a5675e-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(78.55, 88.6]","(36.0, 43.2]",Yes,Electronic check,Month-to-month,No,Yes,Female,No,Yes,Yes,No,No,cf7d7f12-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,No,Yes,No,"(98.65, 108.7]","(50.4, 57.6]",Yes,Electronic check,One year,No,Yes,Male,No,Yes,Yes,Yes,Yes,cb2bd79c-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,No,No,"(48.4, 58.45]","(-0.073, 7.2]",No,Mailed check,Month-to-month,No,No,Female,No,Yes,No,Yes,No,cec3d97c-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(43.2, 50.4]",No internet service,Electronic check,Two year,No,No,Female,No,Yes,No,Yes,No internet service,c968b16e-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,Yes,"(28.3, 38.35]","(28.8, 36.0]",No,Credit card (automatic),One year,Yes,No,Male,No,No,No phone service,No,No,c8308c54-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(78.55, 88.6]","(43.2, 50.4]",No,Electronic check,Month-to-month,No,Yes,Male,Yes,Yes,No,Yes,Yes,cf7a3a14-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,No,No,"(78.55, 88.6]","(28.8, 36.0]",Yes,Electronic check,Month-to-month,No,Yes,Male,No,Yes,Yes,Yes,No,d344a9e0-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(28.8, 36.0]",Yes,Credit card (automatic),One year,No,No,Female,No,Yes,Yes,Yes,Yes,d42917e2-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(7.2, 14.4]",No internet service,Mailed check,Two year,Yes,Yes,Female,No,Yes,No,Yes,No internet service,c5e3e478-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(48.4, 58.45]","(-0.073, 7.2]",No,Credit card (automatic),Month-to-month,No,No,Male,No,Yes,Yes,Yes,No,d11ff7f0-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(7.2, 14.4]",No internet service,Mailed check,One year,No,No,Female,No,Yes,No,Yes,No internet service,c5179ddc-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(7.2, 14.4]",No internet service,Electronic check,Month-to-month,No,No,Male,No,Yes,Yes,Yes,No internet service,c929e2a4-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(14.4, 21.6]",No,Electronic check,Month-to-month,No,Yes,Male,No,Yes,Yes,Yes,No,c5809bca-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Credit card (automatic),Two year,No,Yes,Female,No,Yes,Yes,Yes,No internet service,c4826a28-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Credit card (automatic),Two year,Yes,Yes,Female,No,Yes,No,Yes,No internet service,c5f354da-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(58.45, 68.5]","(36.0, 43.2]",Yes,Electronic check,Two year,No,No,Male,No,Yes,No,Yes,Yes,d0a93c46-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,Yes,Yes,"(88.6, 98.65]","(64.8, 72.0]",Yes,Credit card (automatic),Two year,Yes,Yes,Male,No,Yes,Yes,No,Yes,c4ab4c36-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Bank transfer (automatic),One year,Yes,No,Female,No,Yes,No,No,No internet service,d3fb4c7c-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,Yes,Yes,No,Yes,No,c4aa54b6-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,Yes,Yes,"(108.7, 118.75]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,Yes,Yes,Female,No,Yes,Yes,Yes,Yes,d3fcfc66-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,Yes,No,"(68.5, 78.55]","(21.6, 28.8]",No,Mailed check,One year,No,No,Female,No,Yes,Yes,Yes,Yes,cc93c432-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(38.35, 48.4]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,No,c4c18e7e-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,Yes,No,"(98.65, 108.7]","(43.2, 50.4]",Yes,Electronic check,Month-to-month,No,No,Male,No,Yes,Yes,No,Yes,d6b35c48-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,Yes,Yes,Yes,"(108.7, 118.75]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,Yes,Yes,Female,No,Yes,Yes,Yes,Yes,c484deb6-82c9-11ec-acdd-acde48001122,0
