Contract,OnlineBackup,PhoneService,OnlineSecurity,InternetService,StreamingMovies,PaymentMethod,TechSupport,Dependents,PaperlessBilling,MultipleLines,gender,DeviceProtection,SeniorCitizen,StreamingTV,tenure_bins,monthly_charges_bins,Partner,customerID,Churn
Two year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,Yes,No,No,Female,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",Yes,7165-EXYVU,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,Yes,Yes,Male,No internet service,No,No internet service,"(14.4, 21.6]","(18.148999999999997, 28.3]",Yes,7367-CLJNR,0
Month-to-month,No,No,Yes,DSL,No,Bank transfer (automatic),No,No,No,No phone service,Female,No,No,No,"(-0.073, 7.2]","(28.3, 38.35]",No,0751-NMSXG,0
Two year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,No,No,Yes,Male,No internet service,No,No internet service,"(64.8, 72.0]","(18.148999999999997, 28.3]",Yes,9674-GZXWJ,0
Month-to-month,No,Yes,No,DSL,No,Mailed check,No,Yes,No,No,Female,No,No,No,"(-0.073, 7.2]","(38.35, 48.4]",Yes,5762-HBTOO,0
Two year,Yes,Yes,No,Fiber optic,Yes,Bank transfer (automatic),No,No,Yes,Yes,Female,Yes,No,Yes,"(64.8, 72.0]","(98.65, 108.7]",Yes,5792-MVDYR,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Female,No internet service,No,No internet service,"(43.2, 50.4]","(18.148999999999997, 28.3]",Yes,4270-UMKET,0
Two year,No,No,Yes,DSL,No,Credit card (automatic),Yes,Yes,No,No phone service,Female,Yes,No,No,"(28.8, 36.0]","(38.35, 48.4]",Yes,7318-PFIAG,0
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,No,Male,Yes,Yes,Yes,"(14.4, 21.6]","(98.65, 108.7]",No,2787-PGZUY,0
One year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,Yes,No,No,Male,No internet service,Yes,No internet service,"(64.8, 72.0]","(18.148999999999997, 28.3]",Yes,9451-JXJUK,0
Two year,Yes,Yes,Yes,DSL,Yes,Credit card (automatic),Yes,Yes,Yes,Yes,Male,No,No,No,"(7.2, 14.4]","(68.5, 78.55]",Yes,1145-VTPDJ,0
One year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,Yes,Female,No internet service,No,No internet service,"(43.2, 50.4]","(18.148999999999997, 28.3]",Yes,0448-JXAGV,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,No,Female,No,Yes,No,"(-0.073, 7.2]","(68.5, 78.55]",No,6452-ZDAEQ,0
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,No,Male,Yes,No,No,"(-0.073, 7.2]","(88.6, 98.65]",Yes,2335-QNMNK,1
Two year,Yes,No,Yes,DSL,No,Bank transfer (automatic),Yes,Yes,No,No phone service,Female,No,No,Yes,"(57.6, 64.8]","(48.4, 58.45]",Yes,7007-PZAZM,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,Yes,Male,No,Yes,No,"(-0.073, 7.2]","(68.5, 78.55]",No,4044-AIJHF,1
Month-to-month,No,No,Yes,DSL,Yes,Bank transfer (automatic),Yes,No,Yes,No phone service,Female,Yes,No,No,"(50.4, 57.6]","(48.4, 58.45]",Yes,6425-ICLWR,0
Month-to-month,No,Yes,Yes,Fiber optic,No,Electronic check,No,No,Yes,Yes,Male,No,Yes,Yes,"(28.8, 36.0]","(88.6, 98.65]",No,2585-QGOLF,1
Month-to-month,No,No,No,DSL,No,Electronic check,No,No,Yes,No phone service,Female,No,No,Yes,"(-0.073, 7.2]","(28.3, 38.35]",No,4516-JUYFS,1
Month-to-month,No,Yes,Yes,Fiber optic,No,Bank transfer (automatic),No,No,Yes,No,Female,No,No,No,"(28.8, 36.0]","(68.5, 78.55]",Yes,1769-UICYB,0
Month-to-month,Yes,Yes,Yes,Fiber optic,Yes,Electronic check,No,Yes,Yes,Yes,Male,No,Yes,No,"(57.6, 64.8]","(88.6, 98.65]",Yes,2571-DPMCD,0
Two year,Yes,Yes,No,Fiber optic,Yes,Mailed check,Yes,No,Yes,No,Female,No,No,Yes,"(57.6, 64.8]","(98.65, 108.7]",Yes,5399-DGYNO,0
Month-to-month,No,Yes,No,DSL,No,Mailed check,Yes,No,No,No,Male,No,No,No,"(-0.073, 7.2]","(48.4, 58.45]",No,9274-BSSZM,1
One year,Yes,Yes,No,DSL,No,Credit card (automatic),No,Yes,Yes,No,Female,No,No,Yes,"(14.4, 21.6]","(58.45, 68.5]",Yes,7775-FETOS,0
Month-to-month,No,Yes,No,Fiber optic,No,Bank transfer (automatic),No,Yes,Yes,Yes,Male,Yes,No,No,"(7.2, 14.4]","(78.55, 88.6]",Yes,3016-QLMFY,1
One year,Yes,Yes,No,Fiber optic,Yes,Bank transfer (automatic),Yes,Yes,Yes,No,Male,Yes,No,Yes,"(43.2, 50.4]","(98.65, 108.7]",Yes,2279-QKZRR,0
Two year,Yes,Yes,Yes,DSL,Yes,Credit card (automatic),No,Yes,Yes,No,Male,Yes,No,Yes,"(64.8, 72.0]","(78.55, 88.6]",Yes,1002-IJYOB,0
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,Yes,No,Yes,Male,Yes,No,Yes,"(14.4, 21.6]","(98.65, 108.7]",Yes,6137-KGLOJ,1
One year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,No,No,Yes,Male,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",No,3219-HURCF,1
Two year,No,Yes,Yes,DSL,Yes,Bank transfer (automatic),Yes,Yes,No,Yes,Male,Yes,No,Yes,"(64.8, 72.0]","(78.55, 88.6]",Yes,4141-RDIAT,0
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Female,Yes,No,No,"(7.2, 14.4]","(88.6, 98.65]",No,6922-GQOKK,1
Two year,Yes,Yes,No,DSL,Yes,Electronic check,No,No,Yes,Yes,Female,Yes,No,Yes,"(64.8, 72.0]","(78.55, 88.6]",No,9217-QDGWE,0
Two year,Yes,No,Yes,DSL,No,Credit card (automatic),Yes,Yes,No,No phone service,Female,Yes,No,Yes,"(64.8, 72.0]","(48.4, 58.45]",Yes,6655-ZYEWN,0
Two year,Yes,Yes,Yes,DSL,Yes,Bank transfer (automatic),Yes,No,Yes,No,Female,Yes,No,Yes,"(64.8, 72.0]","(78.55, 88.6]",No,3107-BQTKA,0
One year,No,Yes,Yes,Fiber optic,Yes,Electronic check,No,No,Yes,No,Male,Yes,No,Yes,"(7.2, 14.4]","(98.65, 108.7]",No,6865-FXCRX,0
One year,Yes,Yes,Yes,DSL,No,Credit card (automatic),Yes,Yes,Yes,Yes,Female,No,No,Yes,"(50.4, 57.6]","(68.5, 78.55]",Yes,7253-ETGEY,0
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,Yes,Yes,Yes,Male,No,No,Yes,"(-0.073, 7.2]","(98.65, 108.7]",No,8404-CNKKZ,1
Two year,Yes,Yes,No,Fiber optic,Yes,Credit card (automatic),No,No,No,Yes,Male,Yes,No,Yes,"(64.8, 72.0]","(98.65, 108.7]",No,3732-ICUOL,0
Two year,Yes,Yes,No,Fiber optic,No,Credit card (automatic),No,Yes,Yes,Yes,Female,Yes,No,No,"(64.8, 72.0]","(78.55, 88.6]",Yes,9712-RJICI,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Electronic check,No internet service,Yes,Yes,Yes,Male,No internet service,No,No internet service,"(14.4, 21.6]","(18.148999999999997, 28.3]",No,1566-DWMPF,0
Month-to-month,No,Yes,No,Fiber optic,No,Bank transfer (automatic),No,No,No,No,Male,No,No,No,"(7.2, 14.4]","(68.5, 78.55]",No,9662-BIGOZ,0
Two year,Yes,Yes,No,DSL,No,Credit card (automatic),Yes,No,Yes,Yes,Female,No,No,No,"(57.6, 64.8]","(58.45, 68.5]",Yes,1123-KTSEO,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Female,No internet service,No,No internet service,"(7.2, 14.4]","(18.148999999999997, 28.3]",Yes,3182-KQZKU,0
Month-to-month,Yes,Yes,No,Fiber optic,No,Mailed check,No,Yes,Yes,Yes,Female,No,Yes,No,"(28.8, 36.0]","(78.55, 88.6]",Yes,2702-OFDUF,1
Month-to-month,No,Yes,No,Fiber optic,Yes,Credit card (automatic),Yes,No,Yes,Yes,Male,No,No,No,"(14.4, 21.6]","(88.6, 98.65]",No,4059-IMAUJ,1
Month-to-month,No,Yes,No,DSL,No,Mailed check,No,No,No,No,Male,No,No,Yes,"(-0.073, 7.2]","(48.4, 58.45]",No,6899-FTJRF,1
Two year,No,No,Yes,DSL,Yes,Credit card (automatic),Yes,Yes,No,No phone service,Male,Yes,No,No,"(-0.073, 7.2]","(48.4, 58.45]",Yes,7460-HLFQD,0
One year,No,Yes,No,Fiber optic,Yes,Bank transfer (automatic),No,Yes,No,No,Male,No,No,No,"(21.6, 28.8]","(78.55, 88.6]",Yes,4264-PYMIE,0
Month-to-month,Yes,Yes,Yes,Fiber optic,No,Credit card (automatic),No,No,Yes,Yes,Male,No,Yes,No,"(64.8, 72.0]","(78.55, 88.6]",Yes,4973-ZGDLS,0
Two year,Yes,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),Yes,Yes,Yes,Yes,Female,Yes,No,No,"(50.4, 57.6]","(98.65, 108.7]",Yes,9337-UVBPN,0
Month-to-month,No,Yes,No,DSL,No,Bank transfer (automatic),No,Yes,No,No,Male,No,No,No,"(7.2, 14.4]","(38.35, 48.4]",Yes,4748-OZBMP,0
One year,No internet service,Yes,No internet service,No,No internet service,Electronic check,No internet service,No,Yes,Yes,Female,No internet service,No,No internet service,"(64.8, 72.0]","(18.148999999999997, 28.3]",Yes,1096-FACEE,0
Month-to-month,No,Yes,No,DSL,Yes,Electronic check,No,No,Yes,No,Male,No,No,No,"(-0.073, 7.2]","(48.4, 58.45]",No,4804-SKKIA,0
Two year,No internet service,Yes,No internet service,No,No internet service,Electronic check,No internet service,No,Yes,No,Male,No internet service,No,No internet service,"(36.0, 43.2]","(18.148999999999997, 28.3]",Yes,6440-MQPXF,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Credit card (automatic),No,No,Yes,Yes,Male,Yes,Yes,Yes,"(64.8, 72.0]","(98.65, 108.7]",No,8930-CVXGV,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Bank transfer (automatic),No,No,No,Yes,Female,Yes,No,Yes,"(28.8, 36.0]","(98.65, 108.7]",No,6686-WOEKJ,0
Two year,Yes,No,Yes,DSL,No,Bank transfer (automatic),Yes,Yes,No,No phone service,Female,Yes,No,No,"(64.8, 72.0]","(38.35, 48.4]",Yes,3773-LBXIE,0
One year,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Female,Yes,No,Yes,"(64.8, 72.0]","(98.65, 108.7]",Yes,5028-ITCKP,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,No,Female,No,No,No,"(-0.073, 7.2]","(68.5, 78.55]",No,5888-XGARL,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Male,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,1847-KTZPS,0
Two year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,Yes,No,No,Female,No internet service,No,No internet service,"(64.8, 72.0]","(18.148999999999997, 28.3]",Yes,4737-UYZEK,0
One year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Male,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",No,3787-JIDCL,0
Two year,No,No,No,DSL,Yes,Mailed check,Yes,No,Yes,No phone service,Male,No,No,No,"(64.8, 72.0]","(38.35, 48.4]",No,9681-QCCAO,0
One year,No,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),No,No,No,Yes,Female,Yes,No,Yes,"(36.0, 43.2]","(98.65, 108.7]",Yes,5733-CUVNR,0
Month-to-month,No,Yes,No,DSL,No,Mailed check,No,Yes,Yes,No,Male,Yes,Yes,No,"(-0.073, 7.2]","(48.4, 58.45]",No,3668-ARIEG,1
Two year,Yes,Yes,Yes,Fiber optic,Yes,Credit card (automatic),Yes,No,No,Yes,Female,Yes,No,Yes,"(36.0, 43.2]","(108.7, 118.75]",No,5096-ZMVRS,0
One year,Yes,Yes,No,Fiber optic,Yes,Bank transfer (automatic),No,No,Yes,Yes,Male,Yes,Yes,Yes,"(50.4, 57.6]","(98.65, 108.7]",Yes,4269-KDBSG,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,Yes,Female,No,No,Yes,"(-0.073, 7.2]","(78.55, 88.6]",No,3472-GPQTN,0
Two year,Yes,Yes,Yes,DSL,No,Credit card (automatic),Yes,Yes,No,Yes,Female,No,No,No,"(64.8, 72.0]","(58.45, 68.5]",Yes,1830-EUWJK,0
Two year,Yes,Yes,Yes,DSL,No,Bank transfer (automatic),No,Yes,Yes,No,Male,Yes,No,No,"(50.4, 57.6]","(58.45, 68.5]",Yes,5911-INIAR,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,Yes,Male,Yes,Yes,No,"(-0.073, 7.2]","(78.55, 88.6]",Yes,1251-IMNAR,0
Month-to-month,No,Yes,No,DSL,No,Mailed check,Yes,No,No,Yes,Female,No,No,Yes,"(28.8, 36.0]","(58.45, 68.5]",No,9267-CPYXP,0
Month-to-month,Yes,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),No,No,Yes,Yes,Male,Yes,Yes,Yes,"(57.6, 64.8]","(108.7, 118.75]",No,9158-KMUZP,0
Month-to-month,No,No,Yes,DSL,No,Bank transfer (automatic),No,No,No,No phone service,Male,No,Yes,No,"(-0.073, 7.2]","(28.3, 38.35]",Yes,9903-HKAUZ,0
One year,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Female,Yes,Yes,Yes,"(50.4, 57.6]","(98.65, 108.7]",No,2041-RWMSQ,1
One year,Yes,Yes,No,DSL,Yes,Mailed check,Yes,No,No,Yes,Female,No,No,No,"(36.0, 43.2]","(68.5, 78.55]",Yes,8082-PXUPJ,0
Two year,Yes,Yes,Yes,Fiber optic,Yes,Credit card (automatic),Yes,No,No,Yes,Male,Yes,No,Yes,"(64.8, 72.0]","(108.7, 118.75]",Yes,2484-SJKPT,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,No,No,Female,No,No,No,"(7.2, 14.4]","(68.5, 78.55]",No,3000-PXUPR,0
Two year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,Yes,No,No,Female,No internet service,No,No internet service,"(43.2, 50.4]","(18.148999999999997, 28.3]",Yes,6246-NEPAB,0
Month-to-month,Yes,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),No,No,Yes,Yes,Female,Yes,No,No,"(7.2, 14.4]","(98.65, 108.7]",No,3080-BOGLK,1
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Female,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",Yes,0587-EWFDR,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,No,Female,No,No,No,"(-0.073, 7.2]","(68.5, 78.55]",No,8518-KOIYQ,1
Month-to-month,Yes,Yes,Yes,Fiber optic,No,Bank transfer (automatic),Yes,No,Yes,Yes,Male,Yes,No,Yes,"(14.4, 21.6]","(98.65, 108.7]",No,7109-WSMGY,0
Month-to-month,Yes,Yes,Yes,Fiber optic,No,Electronic check,Yes,No,Yes,Yes,Female,No,Yes,Yes,"(43.2, 50.4]","(88.6, 98.65]",No,7051-MLKPJ,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,Yes,No,Male,No internet service,No,No internet service,"(43.2, 50.4]","(18.148999999999997, 28.3]",Yes,8553-YSCYX,0
Month-to-month,No,Yes,No,DSL,No,Electronic check,No,No,No,No,Male,No,No,No,"(-0.073, 7.2]","(38.35, 48.4]",No,5975-GEUIP,0
Two year,No,Yes,Yes,DSL,Yes,Credit card (automatic),No,Yes,No,No,Female,Yes,No,Yes,"(64.8, 72.0]","(68.5, 78.55]",Yes,7575-DVHXX,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,Yes,Male,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,1391-NKSKR,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Female,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",Yes,0203-HKAKK,0
One year,No,Yes,No,Fiber optic,Yes,Credit card (automatic),Yes,Yes,Yes,Yes,Male,Yes,No,Yes,"(36.0, 43.2]","(98.65, 108.7]",Yes,7794-DNVFT,0
Month-to-month,No,Yes,No,DSL,No,Mailed check,No,No,No,No,Male,No,No,No,"(-0.073, 7.2]","(38.35, 48.4]",No,0181-OIRCA,1
Two year,Yes,Yes,Yes,Fiber optic,Yes,Mailed check,Yes,Yes,Yes,Yes,Male,No,No,Yes,"(57.6, 64.8]","(108.7, 118.75]",Yes,6015-COLMO,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Male,No,No,Yes,"(14.4, 21.6]","(88.6, 98.65]",No,7825-TSSBO,1
One year,Yes,Yes,No,Fiber optic,Yes,Bank transfer (automatic),No,No,Yes,Yes,Female,No,Yes,Yes,"(57.6, 64.8]","(88.6, 98.65]",Yes,0660-GELDD,0
Two year,No,Yes,No,Fiber optic,Yes,Bank transfer (automatic),Yes,No,No,No,Male,Yes,No,Yes,"(43.2, 50.4]","(98.65, 108.7]",No,0268-NEHTW,0
Two year,Yes,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),No,No,Yes,Yes,Female,Yes,No,Yes,"(64.8, 72.0]","(108.7, 118.75]",Yes,8516-WCLTE,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,Yes,No,Yes,Yes,Female,Yes,Yes,Yes,"(43.2, 50.4]","(98.65, 108.7]",No,0687-RGJQS,0
Month-to-month,No,Yes,Yes,Fiber optic,No,Electronic check,No,Yes,No,Yes,Male,No,No,No,"(14.4, 21.6]","(78.55, 88.6]",No,6143-GWWNE,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,No,Female,No,No,Yes,"(-0.073, 7.2]","(78.55, 88.6]",No,8523-OMGCR,1
Two year,Yes,No,Yes,DSL,No,Credit card (automatic),Yes,No,No,No phone service,Male,Yes,Yes,No,"(64.8, 72.0]","(38.35, 48.4]",Yes,9358-NZEXL,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Credit card (automatic),No,No,Yes,Yes,Male,No,Yes,Yes,"(28.8, 36.0]","(88.6, 98.65]",No,9709-CRBXI,1
Month-to-month,Yes,Yes,No,Fiber optic,No,Bank transfer (automatic),No,No,Yes,Yes,Male,No,No,No,"(7.2, 14.4]","(78.55, 88.6]",No,3171-WSCSD,1
Month-to-month,Yes,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,Yes,Male,No,No,No,"(-0.073, 7.2]","(78.55, 88.6]",No,3054-HDJKK,0
One year,No,Yes,No,Fiber optic,Yes,Electronic check,Yes,No,Yes,Yes,Male,Yes,No,Yes,"(50.4, 57.6]","(98.65, 108.7]",Yes,0491-ERPTK,1
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Male,No,Yes,Yes,"(36.0, 43.2]","(98.65, 108.7]",Yes,8811-KDEUT,1
Two year,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,No,Yes,No,Male,No internet service,No,No internet service,"(57.6, 64.8]","(18.148999999999997, 28.3]",No,5852-PRBCR,0
Two year,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,Yes,No,No,Male,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",Yes,7055-LQKLI,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,Yes,Male,No internet service,No,No internet service,"(57.6, 64.8]","(18.148999999999997, 28.3]",No,3293-ZLRPY,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Female,No,Yes,No,"(28.8, 36.0]","(78.55, 88.6]",Yes,6667-MRNED,0
One year,No,No,No,DSL,Yes,Electronic check,Yes,No,No,No phone service,Male,Yes,No,No,"(36.0, 43.2]","(38.35, 48.4]",No,2007-PPYOB,0
Month-to-month,No,No,No,DSL,No,Bank transfer (automatic),No,No,No,No phone service,Female,No,No,No,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,5759-AGQIX,0
Month-to-month,Yes,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,No,Male,Yes,No,No,"(36.0, 43.2]","(78.55, 88.6]",Yes,3953-VFWMU,0
One year,No,Yes,No,Fiber optic,Yes,Bank transfer (automatic),No,Yes,No,No,Female,No,No,Yes,"(50.4, 57.6]","(88.6, 98.65]",Yes,9091-TOGWW,0
Two year,No,Yes,No,DSL,Yes,Bank transfer (automatic),No,No,Yes,Yes,Male,Yes,No,Yes,"(50.4, 57.6]","(68.5, 78.55]",No,1631-HCWLT,0
Month-to-month,No,Yes,No,DSL,No,Credit card (automatic),Yes,No,Yes,No,Male,No,No,Yes,"(14.4, 21.6]","(58.45, 68.5]",No,6505-FJHVB,0
Month-to-month,No,Yes,No,Fiber optic,No,Bank transfer (automatic),No,No,Yes,Yes,Female,No,No,Yes,"(21.6, 28.8]","(78.55, 88.6]",No,8752-FKCNZ,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Male,No internet service,No,No internet service,"(36.0, 43.2]","(18.148999999999997, 28.3]",No,6731-QYGUM,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,Yes,No,Female,No internet service,No,No internet service,"(50.4, 57.6]","(18.148999999999997, 28.3]",No,5391-KDFTQ,0
One year,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,Yes,Yes,No,Male,No internet service,No,No internet service,"(64.8, 72.0]","(18.148999999999997, 28.3]",Yes,3222-SPVXR,0
Two year,Yes,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Male,Yes,No,Yes,"(64.8, 72.0]","(108.7, 118.75]",Yes,1198-IYGVP,0
Two year,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,No,No,No,Female,No internet service,No,No internet service,"(28.8, 36.0]","(18.148999999999997, 28.3]",No,5260-CRVFW,0
Month-to-month,Yes,Yes,No,DSL,No,Bank transfer (automatic),Yes,No,Yes,No,Male,No,No,Yes,"(-0.073, 7.2]","(58.45, 68.5]",No,3419-HJSBJ,0
Two year,Yes,Yes,Yes,DSL,No,Bank transfer (automatic),No,Yes,Yes,No,Male,Yes,No,No,"(64.8, 72.0]","(58.45, 68.5]",Yes,0964-YJCHB,0
Month-to-month,Yes,No,No,DSL,No,Electronic check,No,No,Yes,No phone service,Male,No,No,Yes,"(50.4, 57.6]","(38.35, 48.4]",No,1762-PFBWE,1
Month-to-month,No,Yes,Yes,Fiber optic,Yes,Electronic check,No,No,Yes,No,Female,No,No,Yes,"(14.4, 21.6]","(88.6, 98.65]",No,9968-IRCPF,1
One year,Yes,No,Yes,DSL,No,Bank transfer (automatic),Yes,Yes,Yes,No phone service,Female,No,No,Yes,"(36.0, 43.2]","(48.4, 58.45]",Yes,7370-GWPME,0
Two year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,Yes,No,No,Female,No internet service,No,No internet service,"(36.0, 43.2]","(18.148999999999997, 28.3]",Yes,7131-XUDJS,0
Two year,Yes,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),Yes,Yes,Yes,No,Female,Yes,No,Yes,"(64.8, 72.0]","(98.65, 108.7]",Yes,3526-YGIBB,0
Two year,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,Yes,No,No,Female,No internet service,No,No internet service,"(57.6, 64.8]","(18.148999999999997, 28.3]",Yes,5534-RPCOT,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,Yes,No,Male,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",Yes,0872-KHNUC,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Male,Yes,Yes,Yes,"(50.4, 57.6]","(98.65, 108.7]",No,5710-CBUOQ,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Electronic check,No internet service,No,No,No,Male,No internet service,No,No internet service,"(7.2, 14.4]","(18.148999999999997, 28.3]",No,7942-UYMMH,0
Two year,No,No,Yes,DSL,No,Mailed check,Yes,Yes,No,No phone service,Male,Yes,No,No,"(64.8, 72.0]","(38.35, 48.4]",Yes,8574-NWJST,0
Month-to-month,Yes,Yes,Yes,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Male,No,Yes,No,"(28.8, 36.0]","(88.6, 98.65]",Yes,7440-HNOSI,0
Month-to-month,Yes,Yes,Yes,Fiber optic,No,Electronic check,No,Yes,No,No,Male,No,No,No,"(57.6, 64.8]","(78.55, 88.6]",Yes,7456-NVBWI,0
Month-to-month,Yes,Yes,No,DSL,No,Mailed check,No,No,Yes,No,Male,No,No,No,"(-0.073, 7.2]","(48.4, 58.45]",No,8674-BOUXA,0
Month-to-month,Yes,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,Yes,Male,No,Yes,No,"(-0.073, 7.2]","(78.55, 88.6]",No,7506-QLJFO,1
One year,Yes,Yes,No,Fiber optic,No,Credit card (automatic),No,Yes,Yes,Yes,Female,Yes,No,Yes,"(50.4, 57.6]","(88.6, 98.65]",Yes,3787-DZLCK,0
Month-to-month,No,Yes,Yes,Fiber optic,No,Electronic check,No,Yes,Yes,Yes,Female,No,No,No,"(7.2, 14.4]","(68.5, 78.55]",No,0883-LEORV,1
Month-to-month,No,Yes,No,DSL,No,Mailed check,No,Yes,Yes,No,Male,No,No,No,"(-0.073, 7.2]","(38.35, 48.4]",Yes,1579-JGUZI,1
Month-to-month,No,No,No,DSL,Yes,Bank transfer (automatic),No,No,Yes,No phone service,Male,No,Yes,No,"(21.6, 28.8]","(28.3, 38.35]",No,5929-BYLOH,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Male,No internet service,Yes,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,5942-BUWMY,1
Month-to-month,No,Yes,Yes,Fiber optic,Yes,Mailed check,No,No,Yes,No,Male,No,No,No,"(-0.073, 7.2]","(78.55, 88.6]",No,2213-KOXJS,0
Two year,No,Yes,No,Fiber optic,Yes,Electronic check,Yes,No,No,Yes,Female,Yes,No,Yes,"(64.8, 72.0]","(98.65, 108.7]",No,8720-CNMBR,0
One year,No,Yes,No,DSL,No,Bank transfer (automatic),Yes,No,No,Yes,Male,No,No,No,"(21.6, 28.8]","(48.4, 58.45]",No,4017-ESXUQ,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Female,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,6477-DREIM,0
