,PaymentMethod_x,PaymentMethod_y
3219,Mailed check,Mailed check
3220,Credit card (automatic),Credit card (automatic)
3221,Electronic check,Electronic check
3222,Bank transfer (automatic),Bank transfer (automatic)
3223,Credit card (automatic),Credit card (automatic)
3224,Electronic check,Mailed check
3225,Electronic check,Electronic check
3226,Mailed check,Mailed check
3227,Mailed check,Mailed check
3228,Electronic check,Electronic check
3229,Electronic check,Credit card (automatic)
3230,Mailed check,Mailed check
3231,Mailed check,Mailed check
3232,Mailed check,Mailed check
3233,Electronic check,Bank transfer (automatic)
3234,Mailed check,Mailed check
3235,Credit card (automatic),Credit card (automatic)
3236,Electronic check,Electronic check
3237,Credit card (automatic),Credit card (automatic)
3238,Credit card (automatic),Credit card (automatic)
3239,Mailed check,Mailed check
3240,Bank transfer (automatic),Bank transfer (automatic)
3241,Mailed check,Mailed check
3242,Mailed check,Mailed check
3243,Electronic check,Electronic check
3244,Credit card (automatic),Credit card (automatic)
3245,Electronic check,Electronic check
3246,Mailed check,Mailed check
3247,Bank transfer (automatic),Bank transfer (automatic)
3248,Electronic check,Electronic check
3249,Mailed check,Mailed check
3250,Mailed check,Mailed check
3251,Bank transfer (automatic),Bank transfer (automatic)
3252,Mailed check,Mailed check
3253,Credit card (automatic),Credit card (automatic)
3254,Electronic check,Mailed check
3255,Credit card (automatic),Credit card (automatic)
3256,Bank transfer (automatic),Bank transfer (automatic)
3257,Mailed check,Mailed check
3258,Electronic check,Bank transfer (automatic)
3259,Credit card (automatic),Credit card (automatic)
3260,Electronic check,Electronic check
3261,Credit card (automatic),Credit card (automatic)
3262,Electronic check,Mailed check
3263,Bank transfer (automatic),Bank transfer (automatic)
3264,Electronic check,Electronic check
3265,Electronic check,Electronic check
3266,Bank transfer (automatic),Bank transfer (automatic)
3267,Mailed check,Mailed check
3268,Mailed check,Mailed check
3269,Credit card (automatic),Credit card (automatic)
3270,Mailed check,Mailed check
3271,Electronic check,Electronic check
3272,Electronic check,Electronic check
3273,Electronic check,Credit card (automatic)
3274,Electronic check,Mailed check
3275,Mailed check,Mailed check
3276,Electronic check,Electronic check
3277,Mailed check,Mailed check
3278,Bank transfer (automatic),Bank transfer (automatic)
3279,Credit card (automatic),Credit card (automatic)
3280,Electronic check,Electronic check
3281,Electronic check,Bank transfer (automatic)
3282,Bank transfer (automatic),Bank transfer (automatic)
3283,Credit card (automatic),Credit card (automatic)
3284,Electronic check,Electronic check
3285,Credit card (automatic),Credit card (automatic)
3286,Electronic check,Electronic check
3287,Electronic check,Bank transfer (automatic)
3288,Mailed check,Mailed check
3289,Bank transfer (automatic),Bank transfer (automatic)
3290,Mailed check,Mailed check
3291,Electronic check,Electronic check
3292,Credit card (automatic),Credit card (automatic)
3293,Electronic check,Electronic check
3294,Mailed check,Mailed check
3295,Bank transfer (automatic),Bank transfer (automatic)
3296,Credit card (automatic),Credit card (automatic)
3297,Credit card (automatic),Credit card (automatic)
3298,Mailed check,Mailed check
3299,Credit card (automatic),Credit card (automatic)
3300,Mailed check,Mailed check
3301,Electronic check,Electronic check
3302,Electronic check,Electronic check
3303,Bank transfer (automatic),Bank transfer (automatic)
3304,Electronic check,Electronic check
3305,Electronic check,Electronic check
3306,Electronic check,Electronic check
3307,Electronic check,Electronic check
3308,Mailed check,Mailed check
3309,Credit card (automatic),Credit card (automatic)
3310,Electronic check,Electronic check
3311,Electronic check,Electronic check
3312,Mailed check,Mailed check
3313,Electronic check,Electronic check
3314,Electronic check,Electronic check
3315,Bank transfer (automatic),Bank transfer (automatic)
3316,Bank transfer (automatic),Bank transfer (automatic)
3317,Credit card (automatic),Credit card (automatic)
3318,Mailed check,Mailed check
3319,Electronic check,Electronic check
3320,Credit card (automatic),Credit card (automatic)
3321,Mailed check,Mailed check
3322,Electronic check,Electronic check
3323,Mailed check,Mailed check
3324,Electronic check,Bank transfer (automatic)
3325,Electronic check,Electronic check
3326,Credit card (automatic),Credit card (automatic)
3327,Electronic check,Credit card (automatic)
3328,Electronic check,Credit card (automatic)
3329,Mailed check,Mailed check
3330,Electronic check,Electronic check
3331,Mailed check,Mailed check
3332,Mailed check,Mailed check
3333,Bank transfer (automatic),Bank transfer (automatic)
3334,Electronic check,Electronic check
3335,Electronic check,Electronic check
3336,Mailed check,Mailed check
3337,Electronic check,Bank transfer (automatic)
3338,Electronic check,Mailed check
3339,Credit card (automatic),Credit card (automatic)
3340,Credit card (automatic),Credit card (automatic)
3341,Mailed check,Mailed check
3342,Credit card (automatic),Credit card (automatic)
3343,Bank transfer (automatic),Bank transfer (automatic)
3344,Mailed check,Mailed check
3345,Electronic check,Credit card (automatic)
3346,Electronic check,Electronic check
3347,Mailed check,Mailed check
3348,Electronic check,Electronic check
3349,Electronic check,Mailed check
3350,Mailed check,Mailed check
3351,Mailed check,Mailed check
3352,Mailed check,Mailed check
3353,Credit card (automatic),Credit card (automatic)
3354,Bank transfer (automatic),Bank transfer (automatic)
3355,Credit card (automatic),Credit card (automatic)
3356,Mailed check,Mailed check
3357,Electronic check,Electronic check
3358,Mailed check,Mailed check
3359,Mailed check,Mailed check
3360,Electronic check,Electronic check
3361,Credit card (automatic),Credit card (automatic)
3362,Electronic check,Electronic check
3363,Bank transfer (automatic),Bank transfer (automatic)
3364,Electronic check,Electronic check
3365,Mailed check,Mailed check
3366,Electronic check,Electronic check
3367,Mailed check,Mailed check
3368,Electronic check,Electronic check
3369,Electronic check,Bank transfer (automatic)
3370,Bank transfer (automatic),Bank transfer (automatic)
3371,Mailed check,Mailed check
3372,Bank transfer (automatic),Bank transfer (automatic)
3373,Mailed check,Mailed check
3374,Mailed check,Mailed check
3375,Bank transfer (automatic),Bank transfer (automatic)
3376,Mailed check,Mailed check
3377,Credit card (automatic),Credit card (automatic)
3378,Mailed check,Mailed check
3379,Mailed check,Mailed check
3380,Electronic check,Credit card (automatic)
3381,Bank transfer (automatic),Bank transfer (automatic)
3382,Credit card (automatic),Credit card (automatic)
3383,Electronic check,Mailed check
3384,Electronic check,Electronic check
3385,Electronic check,Electronic check
3386,Electronic check,Electronic check
3387,Mailed check,Mailed check
3388,Mailed check,Mailed check
3389,Mailed check,Mailed check
3390,Credit card (automatic),Credit card (automatic)
3391,Mailed check,Mailed check
3392,Mailed check,Mailed check
3393,Bank transfer (automatic),Bank transfer (automatic)
3394,Electronic check,Electronic check
3395,Bank transfer (automatic),Bank transfer (automatic)
3396,Credit card (automatic),Credit card (automatic)
3397,Electronic check,Credit card (automatic)
3398,Credit card (automatic),Credit card (automatic)
3399,Credit card (automatic),Credit card (automatic)
3400,Bank transfer (automatic),Bank transfer (automatic)
3401,Bank transfer (automatic),Bank transfer (automatic)
3402,Electronic check,Credit card (automatic)
3403,Credit card (automatic),Credit card (automatic)
3404,Credit card (automatic),Credit card (automatic)
3405,Bank transfer (automatic),Bank transfer (automatic)
3406,Mailed check,Mailed check
3407,Bank transfer (automatic),Bank transfer (automatic)
3408,Credit card (automatic),Credit card (automatic)
3409,Electronic check,Electronic check
3410,Credit card (automatic),Credit card (automatic)
3411,Electronic check,Electronic check
3412,Mailed check,Mailed check
3413,Credit card (automatic),Credit card (automatic)
3414,Mailed check,Mailed check
3415,Electronic check,Electronic check
3416,Mailed check,Mailed check
3417,Bank transfer (automatic),Bank transfer (automatic)
3418,Electronic check,Electronic check
3419,Mailed check,Mailed check
3420,Bank transfer (automatic),Bank transfer (automatic)
3421,Bank transfer (automatic),Bank transfer (automatic)
3422,Bank transfer (automatic),Bank transfer (automatic)
3423,Mailed check,Mailed check
3424,Electronic check,Electronic check
3425,Bank transfer (automatic),Bank transfer (automatic)
3426,Electronic check,Electronic check
3427,Electronic check,Electronic check
3428,Bank transfer (automatic),Bank transfer (automatic)
3429,Bank transfer (automatic),Bank transfer (automatic)
3430,Electronic check,Electronic check
3431,Electronic check,Electronic check
3432,Credit card (automatic),Credit card (automatic)
3433,Electronic check,Bank transfer (automatic)
3434,Mailed check,Mailed check
3435,Credit card (automatic),Credit card (automatic)
3436,Bank transfer (automatic),Bank transfer (automatic)
3437,Credit card (automatic),Credit card (automatic)
3438,Electronic check,Electronic check
3439,Bank transfer (automatic),Bank transfer (automatic)
3440,Credit card (automatic),Credit card (automatic)
3441,Mailed check,Mailed check
3442,Credit card (automatic),Credit card (automatic)
3443,Credit card (automatic),Credit card (automatic)
3444,Mailed check,Mailed check
3445,Electronic check,Electronic check
3446,Electronic check,Electronic check
3447,Credit card (automatic),Credit card (automatic)
3448,Credit card (automatic),Credit card (automatic)
3449,Credit card (automatic),Credit card (automatic)
3450,Electronic check,Electronic check
3451,Bank transfer (automatic),Bank transfer (automatic)
3452,Mailed check,Mailed check
3453,Electronic check,Credit card (automatic)
3454,Mailed check,Mailed check
3455,Electronic check,Electronic check
3456,Mailed check,Mailed check
3457,Mailed check,Mailed check
3458,Bank transfer (automatic),Bank transfer (automatic)
3459,Mailed check,Mailed check
3460,Credit card (automatic),Credit card (automatic)
3461,Electronic check,Electronic check
3462,Mailed check,Mailed check
3463,Electronic check,Electronic check
3464,Bank transfer (automatic),Bank transfer (automatic)
3465,Electronic check,Electronic check
3466,Credit card (automatic),Credit card (automatic)
3467,Electronic check,Electronic check
3468,Mailed check,Mailed check
3469,Electronic check,Electronic check
3470,Credit card (automatic),Credit card (automatic)
3471,Mailed check,Mailed check
3472,Electronic check,Electronic check
3473,Bank transfer (automatic),Bank transfer (automatic)
3474,Electronic check,Credit card (automatic)
3475,Mailed check,Mailed check
3476,Electronic check,Credit card (automatic)
3477,Electronic check,Electronic check
3478,Electronic check,Electronic check
3479,Mailed check,Mailed check
3480,Credit card (automatic),Credit card (automatic)
3481,Electronic check,Electronic check
3482,Bank transfer (automatic),Bank transfer (automatic)
3483,Electronic check,Electronic check
3484,Electronic check,Electronic check
3485,Credit card (automatic),Credit card (automatic)
3486,Bank transfer (automatic),Bank transfer (automatic)
3487,Bank transfer (automatic),Bank transfer (automatic)
3488,Mailed check,Mailed check
3489,Credit card (automatic),Credit card (automatic)
3490,Electronic check,Electronic check
3491,Electronic check,Electronic check
3492,Mailed check,Mailed check
3493,Bank transfer (automatic),Bank transfer (automatic)
3494,Bank transfer (automatic),Bank transfer (automatic)
3495,Electronic check,Electronic check
3496,Bank transfer (automatic),Bank transfer (automatic)
3497,Electronic check,Electronic check
3498,Electronic check,Electronic check
3499,Mailed check,Mailed check
3500,Electronic check,Electronic check
3501,Mailed check,Mailed check
3502,Electronic check,Credit card (automatic)
3503,Electronic check,Electronic check
3504,Bank transfer (automatic),Bank transfer (automatic)
3505,Electronic check,Bank transfer (automatic)
3506,Electronic check,Electronic check
3507,Mailed check,Mailed check
3508,Bank transfer (automatic),Bank transfer (automatic)
3509,Mailed check,Mailed check
3510,Electronic check,Electronic check
3511,Mailed check,Mailed check
3512,Bank transfer (automatic),Bank transfer (automatic)
3513,Bank transfer (automatic),Bank transfer (automatic)
3514,Electronic check,Electronic check
3515,Credit card (automatic),Credit card (automatic)
3516,Electronic check,Electronic check
3517,Bank transfer (automatic),Bank transfer (automatic)
3518,Mailed check,Mailed check
3519,Electronic check,Electronic check
3520,Mailed check,Mailed check
3521,Electronic check,Electronic check
3522,Credit card (automatic),Credit card (automatic)
3523,Credit card (automatic),Credit card (automatic)
3524,Credit card (automatic),Credit card (automatic)
3525,Electronic check,Electronic check
3526,Electronic check,Electronic check
3527,Bank transfer (automatic),Bank transfer (automatic)
3528,Mailed check,Mailed check
3529,Electronic check,Mailed check
3530,Mailed check,Mailed check
3531,Credit card (automatic),Credit card (automatic)
3532,Electronic check,Electronic check
3533,Mailed check,Mailed check
3534,Bank transfer (automatic),Bank transfer (automatic)
3535,Credit card (automatic),Credit card (automatic)
3536,Mailed check,Mailed check
3537,Mailed check,Mailed check
3538,Credit card (automatic),Credit card (automatic)
3539,Mailed check,Mailed check
3540,Bank transfer (automatic),Bank transfer (automatic)
3541,Bank transfer (automatic),Bank transfer (automatic)
3542,Credit card (automatic),Credit card (automatic)
3543,Bank transfer (automatic),Bank transfer (automatic)
3544,Electronic check,Bank transfer (automatic)
3545,Electronic check,Electronic check
3546,Electronic check,Bank transfer (automatic)
3547,Credit card (automatic),Credit card (automatic)
3548,Credit card (automatic),Credit card (automatic)
3549,Bank transfer (automatic),Bank transfer (automatic)
3550,Electronic check,Electronic check
3551,Electronic check,Electronic check
3552,Bank transfer (automatic),Bank transfer (automatic)
3553,Bank transfer (automatic),Bank transfer (automatic)
3554,Electronic check,Electronic check
3555,Electronic check,Credit card (automatic)
3556,Mailed check,Mailed check
3557,Bank transfer (automatic),Bank transfer (automatic)
3558,Bank transfer (automatic),Bank transfer (automatic)
3559,Credit card (automatic),Credit card (automatic)
3560,Mailed check,Mailed check
3561,Electronic check,Electronic check
3562,Electronic check,Electronic check
3563,Credit card (automatic),Credit card (automatic)
3564,Credit card (automatic),Credit card (automatic)
3565,Electronic check,Credit card (automatic)
3566,Electronic check,Electronic check
3567,Credit card (automatic),Credit card (automatic)
3568,Bank transfer (automatic),Bank transfer (automatic)
3569,Mailed check,Mailed check
3570,Mailed check,Mailed check
3571,Electronic check,Electronic check
3572,Electronic check,Electronic check
3573,Bank transfer (automatic),Bank transfer (automatic)
3574,Mailed check,Mailed check
3575,Electronic check,Mailed check
3576,Bank transfer (automatic),Bank transfer (automatic)
3577,Mailed check,Mailed check
3578,Mailed check,Mailed check
3579,Electronic check,Bank transfer (automatic)
3580,Mailed check,Mailed check
3581,Credit card (automatic),Credit card (automatic)
3582,Electronic check,Electronic check
3583,Mailed check,Mailed check
3584,Mailed check,Mailed check
3585,Mailed check,Mailed check
3586,Mailed check,Mailed check
3587,Credit card (automatic),Credit card (automatic)
3588,Credit card (automatic),Credit card (automatic)
3589,Bank transfer (automatic),Bank transfer (automatic)
3590,Bank transfer (automatic),Bank transfer (automatic)
3591,Electronic check,Electronic check
3592,Electronic check,Electronic check
3593,Mailed check,Mailed check
3594,Electronic check,Mailed check
3595,Bank transfer (automatic),Bank transfer (automatic)
3596,Electronic check,Electronic check
3597,Credit card (automatic),Credit card (automatic)
3598,Electronic check,Electronic check
3599,Mailed check,Mailed check
3600,Electronic check,Mailed check
3601,Credit card (automatic),Credit card (automatic)
3602,Bank transfer (automatic),Bank transfer (automatic)
3603,Mailed check,Mailed check
3604,Electronic check,Electronic check
3605,Electronic check,Bank transfer (automatic)
3606,Electronic check,Electronic check
3607,Mailed check,Mailed check
3608,Electronic check,Electronic check
3609,Electronic check,Credit card (automatic)
3610,Bank transfer (automatic),Bank transfer (automatic)
3611,Credit card (automatic),Credit card (automatic)
3612,Electronic check,Electronic check
3613,Bank transfer (automatic),Bank transfer (automatic)
3614,Bank transfer (automatic),Bank transfer (automatic)
3615,Electronic check,Mailed check
3616,Credit card (automatic),Credit card (automatic)
3617,Electronic check,Electronic check
3618,Electronic check,Electronic check
3619,Bank transfer (automatic),Bank transfer (automatic)
3620,Electronic check,Electronic check
3621,Mailed check,Mailed check
3622,Credit card (automatic),Credit card (automatic)
3623,Bank transfer (automatic),Bank transfer (automatic)
3624,Credit card (automatic),Credit card (automatic)
3625,Credit card (automatic),Credit card (automatic)
3626,Bank transfer (automatic),Bank transfer (automatic)
3627,Mailed check,Mailed check
3628,Mailed check,Mailed check
3629,Mailed check,Mailed check
3630,Bank transfer (automatic),Bank transfer (automatic)
3631,Electronic check,Electronic check
3632,Mailed check,Mailed check
3633,Electronic check,Electronic check
3634,Bank transfer (automatic),Bank transfer (automatic)
3635,Electronic check,Bank transfer (automatic)
3636,Credit card (automatic),Credit card (automatic)
3637,Mailed check,Mailed check
3638,Credit card (automatic),Credit card (automatic)
3639,Credit card (automatic),Credit card (automatic)
3640,Electronic check,Electronic check
3641,Bank transfer (automatic),Bank transfer (automatic)
3642,Electronic check,Electronic check
3643,Credit card (automatic),Credit card (automatic)
3644,Mailed check,Mailed check
3645,Mailed check,Mailed check
3646,Electronic check,Electronic check
3647,Electronic check,Electronic check
3648,Electronic check,Mailed check
3649,Credit card (automatic),Credit card (automatic)
3650,Mailed check,Mailed check
3651,Credit card (automatic),Credit card (automatic)
3652,Electronic check,Mailed check
3653,Bank transfer (automatic),Bank transfer (automatic)
3654,Credit card (automatic),Credit card (automatic)
3655,Bank transfer (automatic),Bank transfer (automatic)
3656,Mailed check,Mailed check
3657,Bank transfer (automatic),Bank transfer (automatic)
3658,Electronic check,Electronic check
3659,Credit card (automatic),Credit card (automatic)
3660,Credit card (automatic),Credit card (automatic)
3661,Credit card (automatic),Credit card (automatic)
3662,Electronic check,Credit card (automatic)
3663,Mailed check,Mailed check
3664,Mailed check,Mailed check
3665,Electronic check,Electronic check
3666,Bank transfer (automatic),Bank transfer (automatic)
3667,Electronic check,Electronic check
3668,Bank transfer (automatic),Bank transfer (automatic)
3669,Electronic check,Electronic check
3670,Bank transfer (automatic),Bank transfer (automatic)
3671,Electronic check,Electronic check
3672,Credit card (automatic),Credit card (automatic)
3673,Electronic check,Electronic check
3674,Electronic check,Electronic check
3675,Mailed check,Mailed check
3676,Electronic check,Bank transfer (automatic)
3677,Mailed check,Mailed check
3678,Electronic check,Electronic check
3679,Mailed check,Mailed check
3680,Mailed check,Mailed check
3681,Electronic check,Electronic check
3682,Electronic check,Electronic check
3683,Bank transfer (automatic),Bank transfer (automatic)
3684,Credit card (automatic),Credit card (automatic)
3685,Bank transfer (automatic),Bank transfer (automatic)
3686,Mailed check,Mailed check
3687,Bank transfer (automatic),Bank transfer (automatic)
3688,Bank transfer (automatic),Bank transfer (automatic)
3689,Electronic check,Electronic check
3690,Credit card (automatic),Credit card (automatic)
3691,Bank transfer (automatic),Bank transfer (automatic)
3692,Bank transfer (automatic),Bank transfer (automatic)
3693,Bank transfer (automatic),Bank transfer (automatic)
3694,Credit card (automatic),Credit card (automatic)
3695,Electronic check,Electronic check
3696,Electronic check,Electronic check
3697,Electronic check,Electronic check
3698,Electronic check,Electronic check
3699,Bank transfer (automatic),Bank transfer (automatic)
3700,Electronic check,Electronic check
3701,Electronic check,Electronic check
3702,Electronic check,Bank transfer (automatic)
3703,Mailed check,Mailed check
3704,Credit card (automatic),Credit card (automatic)
3705,Credit card (automatic),Credit card (automatic)
3706,Mailed check,Mailed check
3707,Bank transfer (automatic),Bank transfer (automatic)
3708,Mailed check,Mailed check
3709,Mailed check,Mailed check
3710,Mailed check,Mailed check
3711,Bank transfer (automatic),Bank transfer (automatic)
3712,Electronic check,Electronic check
3713,Electronic check,Bank transfer (automatic)
3714,Bank transfer (automatic),Bank transfer (automatic)
3715,Electronic check,Electronic check
3716,Electronic check,Credit card (automatic)
3717,Bank transfer (automatic),Bank transfer (automatic)
3718,Electronic check,Electronic check
3719,Credit card (automatic),Credit card (automatic)
3720,Credit card (automatic),Credit card (automatic)
3721,Mailed check,Mailed check
3722,Bank transfer (automatic),Bank transfer (automatic)
3723,Mailed check,Mailed check
3724,Bank transfer (automatic),Bank transfer (automatic)
3725,Mailed check,Mailed check
3726,Credit card (automatic),Credit card (automatic)
3727,Electronic check,Electronic check
3728,Bank transfer (automatic),Bank transfer (automatic)
3729,Credit card (automatic),Credit card (automatic)
3730,Credit card (automatic),Credit card (automatic)
3731,Electronic check,Mailed check
3732,Bank transfer (automatic),Bank transfer (automatic)
3733,Bank transfer (automatic),Bank transfer (automatic)
3734,Bank transfer (automatic),Bank transfer (automatic)
3735,Electronic check,Electronic check
3736,Bank transfer (automatic),Bank transfer (automatic)
3737,Mailed check,Mailed check
3738,Electronic check,Mailed check
3739,Electronic check,Electronic check
3740,Electronic check,Electronic check
3741,Credit card (automatic),Credit card (automatic)
3742,Electronic check,Electronic check
3743,Electronic check,Electronic check
3744,Bank transfer (automatic),Bank transfer (automatic)
3745,Electronic check,Electronic check
3746,Electronic check,Bank transfer (automatic)
3747,Mailed check,Mailed check
3748,Credit card (automatic),Credit card (automatic)
3749,Electronic check,Electronic check
3750,Electronic check,Bank transfer (automatic)
3751,Bank transfer (automatic),Bank transfer (automatic)
3752,Electronic check,Mailed check
3753,Mailed check,Mailed check
3754,Mailed check,Mailed check
3755,Electronic check,Electronic check
3756,Mailed check,Mailed check
3757,Credit card (automatic),Credit card (automatic)
3758,Bank transfer (automatic),Bank transfer (automatic)
3759,Credit card (automatic),Credit card (automatic)
3760,Credit card (automatic),Credit card (automatic)
3761,Credit card (automatic),Credit card (automatic)
3762,Electronic check,Electronic check
3763,Electronic check,Electronic check
3764,Electronic check,Credit card (automatic)
3765,Mailed check,Mailed check
3766,Electronic check,Credit card (automatic)
3767,Credit card (automatic),Credit card (automatic)
3768,Credit card (automatic),Credit card (automatic)
3769,Electronic check,Credit card (automatic)
3770,Bank transfer (automatic),Bank transfer (automatic)
3771,Electronic check,Electronic check
3772,Electronic check,Mailed check
3773,Mailed check,Mailed check
3774,Electronic check,Credit card (automatic)
3775,Electronic check,Electronic check
3776,Mailed check,Mailed check
3777,Bank transfer (automatic),Bank transfer (automatic)
3778,Bank transfer (automatic),Bank transfer (automatic)
3779,Credit card (automatic),Credit card (automatic)
3780,Credit card (automatic),Credit card (automatic)
3781,Mailed check,Mailed check
3782,Electronic check,Electronic check
3783,Electronic check,Electronic check
3784,Electronic check,Electronic check
3785,Electronic check,Electronic check
3786,Bank transfer (automatic),Bank transfer (automatic)
3787,Electronic check,Electronic check
3788,Bank transfer (automatic),Bank transfer (automatic)
3789,Mailed check,Mailed check
3790,Credit card (automatic),Credit card (automatic)
3791,Electronic check,Electronic check
3792,Electronic check,Electronic check
3793,Mailed check,Mailed check
3794,Mailed check,Mailed check
3795,Electronic check,Electronic check
3796,Electronic check,Electronic check
3797,Electronic check,Electronic check
3798,Electronic check,Electronic check
3799,Credit card (automatic),Credit card (automatic)
3800,Credit card (automatic),Credit card (automatic)
3801,Electronic check,Electronic check
3802,Mailed check,Mailed check
3803,Electronic check,Electronic check
3804,Electronic check,Electronic check
3805,Electronic check,Electronic check
3806,Electronic check,Bank transfer (automatic)
3807,Electronic check,Electronic check
3808,Mailed check,Mailed check
3809,Credit card (automatic),Credit card (automatic)
3810,Electronic check,Electronic check
3811,Mailed check,Mailed check
3812,Bank transfer (automatic),Bank transfer (automatic)
3813,Electronic check,Electronic check
3814,Credit card (automatic),Credit card (automatic)
3815,Electronic check,Electronic check
3816,Bank transfer (automatic),Bank transfer (automatic)
3817,Mailed check,Mailed check
3818,Credit card (automatic),Credit card (automatic)
3819,Bank transfer (automatic),Bank transfer (automatic)
3820,Credit card (automatic),Credit card (automatic)
3821,Electronic check,Electronic check
3822,Mailed check,Mailed check
3823,Bank transfer (automatic),Bank transfer (automatic)
3824,Mailed check,Mailed check
3825,Mailed check,Mailed check
3826,Mailed check,Mailed check
3827,Mailed check,Mailed check
3828,Bank transfer (automatic),Bank transfer (automatic)
3829,Electronic check,Electronic check
3830,Electronic check,Electronic check
3831,Electronic check,Electronic check
3832,Credit card (automatic),Credit card (automatic)
3833,Bank transfer (automatic),Bank transfer (automatic)
3834,Bank transfer (automatic),Bank transfer (automatic)
3835,Mailed check,Mailed check
3836,Bank transfer (automatic),Bank transfer (automatic)
3837,Electronic check,Electronic check
3838,Bank transfer (automatic),Bank transfer (automatic)
3839,Mailed check,Mailed check
3840,Credit card (automatic),Credit card (automatic)
3841,Electronic check,Credit card (automatic)
3842,Credit card (automatic),Credit card (automatic)
3843,Mailed check,Mailed check
3844,Credit card (automatic),Credit card (automatic)
3845,Electronic check,Credit card (automatic)
3846,Electronic check,Electronic check
3847,Credit card (automatic),Credit card (automatic)
3848,Mailed check,Mailed check
3849,Bank transfer (automatic),Bank transfer (automatic)
3850,Credit card (automatic),Credit card (automatic)
3851,Mailed check,Mailed check
3852,Bank transfer (automatic),Bank transfer (automatic)
3853,Bank transfer (automatic),Bank transfer (automatic)
3854,Bank transfer (automatic),Bank transfer (automatic)
3855,Credit card (automatic),Credit card (automatic)
3856,Electronic check,Electronic check
3857,Bank transfer (automatic),Bank transfer (automatic)
3858,Bank transfer (automatic),Bank transfer (automatic)
3859,Bank transfer (automatic),Bank transfer (automatic)
3860,Credit card (automatic),Credit card (automatic)
3861,Electronic check,Electronic check
3862,Mailed check,Mailed check
3863,Electronic check,Electronic check
3864,Electronic check,Bank transfer (automatic)
3865,Mailed check,Mailed check
3866,Mailed check,Mailed check
3867,Credit card (automatic),Credit card (automatic)
3868,Bank transfer (automatic),Bank transfer (automatic)
3869,Electronic check,Electronic check
3870,Electronic check,Electronic check
3871,Bank transfer (automatic),Bank transfer (automatic)
3872,Electronic check,Electronic check
3873,Bank transfer (automatic),Bank transfer (automatic)
3874,Electronic check,Bank transfer (automatic)
3875,Electronic check,Electronic check
3876,Electronic check,Electronic check
3877,Electronic check,Electronic check
3878,Bank transfer (automatic),Bank transfer (automatic)
3879,Electronic check,Electronic check
3880,Credit card (automatic),Credit card (automatic)
3881,Bank transfer (automatic),Bank transfer (automatic)
3882,Credit card (automatic),Credit card (automatic)
3883,Electronic check,Bank transfer (automatic)
3884,Electronic check,Electronic check
3885,Electronic check,Electronic check
3886,Bank transfer (automatic),Bank transfer (automatic)
3887,Electronic check,Electronic check
3888,Credit card (automatic),Credit card (automatic)
3889,Credit card (automatic),Credit card (automatic)
3890,Electronic check,Credit card (automatic)
3891,Credit card (automatic),Credit card (automatic)
3892,Credit card (automatic),Credit card (automatic)
3893,Mailed check,Mailed check
3894,Mailed check,Mailed check
3895,Bank transfer (automatic),Bank transfer (automatic)
3896,Mailed check,Mailed check
3897,Electronic check,Credit card (automatic)
3898,Credit card (automatic),Credit card (automatic)
3899,Electronic check,Credit card (automatic)
3900,Mailed check,Mailed check
3901,Bank transfer (automatic),Bank transfer (automatic)
3902,Mailed check,Mailed check
3903,Mailed check,Mailed check
3904,Mailed check,Mailed check
3905,Credit card (automatic),Credit card (automatic)
3906,Electronic check,Electronic check
3907,Mailed check,Mailed check
3908,Bank transfer (automatic),Bank transfer (automatic)
3909,Credit card (automatic),Credit card (automatic)
3910,Electronic check,Electronic check
3911,Electronic check,Electronic check
3912,Credit card (automatic),Credit card (automatic)
3913,Credit card (automatic),Credit card (automatic)
3914,Mailed check,Mailed check
3915,Credit card (automatic),Credit card (automatic)
3916,Mailed check,Mailed check
3917,Electronic check,Electronic check
3918,Electronic check,Mailed check
3919,Bank transfer (automatic),Bank transfer (automatic)
3920,Credit card (automatic),Credit card (automatic)
3921,Mailed check,Mailed check
3922,Credit card (automatic),Credit card (automatic)
3923,Mailed check,Mailed check
3924,Mailed check,Mailed check
3925,Mailed check,Mailed check
3926,Mailed check,Mailed check
3927,Credit card (automatic),Credit card (automatic)
3928,Credit card (automatic),Credit card (automatic)
3929,Bank transfer (automatic),Bank transfer (automatic)
3930,Electronic check,Electronic check
3931,Mailed check,Mailed check
3932,Electronic check,Electronic check
3933,Credit card (automatic),Credit card (automatic)
3934,Mailed check,Mailed check
3935,Credit card (automatic),Credit card (automatic)
3936,Bank transfer (automatic),Bank transfer (automatic)
3937,Credit card (automatic),Credit card (automatic)
3938,Mailed check,Mailed check
3939,Electronic check,Electronic check
3940,Bank transfer (automatic),Bank transfer (automatic)
3941,Bank transfer (automatic),Bank transfer (automatic)
3942,Electronic check,Electronic check
3943,Electronic check,Electronic check
3944,Mailed check,Mailed check
3945,Mailed check,Mailed check
3946,Mailed check,Mailed check
3947,Credit card (automatic),Credit card (automatic)
3948,Bank transfer (automatic),Bank transfer (automatic)
3949,Mailed check,Mailed check
3950,Electronic check,Electronic check
3951,Mailed check,Mailed check
3952,Credit card (automatic),Credit card (automatic)
3953,Electronic check,Electronic check
3954,Electronic check,Electronic check
3955,Electronic check,Electronic check
3956,Electronic check,Electronic check
3957,Electronic check,Credit card (automatic)
3958,Bank transfer (automatic),Bank transfer (automatic)
3959,Bank transfer (automatic),Bank transfer (automatic)
