PaymentMethod,OnlineSecurity,DeviceProtection,MultipleLines,Partner,SeniorCitizen,Contract,PhoneService,tenure_bins,InternetService,Dependents,TechSupport,PaperlessBilling,gender,StreamingTV,OnlineBackup,monthly_charges_bins,StreamingMovies,customerID,Churn
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,No,Female,No,No,"(68.5, 78.55]",No,e7d63788-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No internet service,No internet service,Yes,No,Yes,Two year,Yes,"(64.8, 72.0]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,fd99cbc0-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,Yes,No,One year,Yes,"(57.6, 64.8]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f5a291d6-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,Yes,Yes,Yes,Female,Yes,Yes,"(108.7, 118.75]",Yes,e7f5c47c-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No,Yes,No,Month-to-month,Yes,"(50.4, 57.6]",Fiber optic,No,No,No,Male,Yes,No,"(88.6, 98.65]",Yes,f1a6eaaa-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No phone service,Yes,No,One year,No,"(64.8, 72.0]",DSL,Yes,Yes,No,Male,Yes,Yes,"(58.45, 68.5]",Yes,ea791640-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,No,No,Two year,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,fd3e4bce-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,Yes,Yes,Yes,One year,Yes,"(64.8, 72.0]",DSL,No,No,Yes,Female,Yes,Yes,"(68.5, 78.55]",No,f72a445e-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,Yes,Yes,Yes,One year,Yes,"(36.0, 43.2]",Fiber optic,No,No,Yes,Female,Yes,No,"(98.65, 108.7]",Yes,f4433188-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,No,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,Yes,Yes,Yes,Male,Yes,Yes,"(68.5, 78.55]",No,f504b3d0-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7a8b966-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,No,Yes,Yes,One year,Yes,"(36.0, 43.2]",Fiber optic,No,Yes,Yes,Female,Yes,Yes,"(98.65, 108.7]",Yes,fc73282c-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No internet service,No internet service,No,No,No,Month-to-month,Yes,"(7.2, 14.4]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f7ab7114-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,No,One year,Yes,"(43.2, 50.4]",Fiber optic,No,Yes,Yes,Male,Yes,No,"(108.7, 118.75]",Yes,fb0984c2-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,Yes,Yes,No,One year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,ed797696-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No phone service,No,No,Month-to-month,No,"(7.2, 14.4]",DSL,No,No,Yes,Female,No,Yes,"(28.3, 38.35]",No,e8e21368-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,Yes,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,e8754418-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No internet service,No internet service,No,Yes,No,Two year,Yes,"(64.8, 72.0]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8057d40-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No phone service,No,Yes,Month-to-month,No,"(-0.073, 7.2]",DSL,No,No,Yes,Male,No,No,"(18.148999999999997, 28.3]",No,ec736ee6-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,No,Yes,No,One year,Yes,"(50.4, 57.6]",DSL,Yes,Yes,Yes,Male,Yes,Yes,"(68.5, 78.55]",No,ecdf82ca-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No,Yes,No,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,Yes,Yes,No,Female,No,Yes,"(78.55, 88.6]",No,ecceeaaa-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7bdb3b6-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,Yes,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,Yes,Female,Yes,No,"(78.55, 88.6]",No,ebc18820-773a-11ec-b2a1-acde48001122,1
Mailed check,No,No,No phone service,Yes,No,Month-to-month,No,"(14.4, 21.6]",DSL,Yes,No,Yes,Female,No,No,"(18.148999999999997, 28.3]",No,f1e7bd96-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,"(64.8, 72.0]",Fiber optic,No,No,Yes,Male,Yes,No,"(98.65, 108.7]",Yes,f250c9c6-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,Yes,No,No,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,No,No,No,Male,No,No,"(78.55, 88.6]",Yes,f6cc31fc-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),Yes,Yes,Yes,No,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Female,Yes,Yes,"(108.7, 118.75]",Yes,e9384346-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,No,No,No,Month-to-month,Yes,"(57.6, 64.8]",DSL,No,Yes,Yes,Male,Yes,Yes,"(78.55, 88.6]",Yes,f626bf2e-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,Yes,Yes,Yes,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Male,Yes,Yes,"(108.7, 118.75]",Yes,e8c7eccc-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,No,No,No,One year,Yes,"(28.8, 36.0]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(88.6, 98.65]",Yes,f6696ce8-773a-11ec-b2a1-acde48001122,0
Mailed check,No,Yes,No phone service,Yes,Yes,Month-to-month,No,"(28.8, 36.0]",DSL,Yes,No,Yes,Female,No,Yes,"(28.3, 38.35]",No,eea018ea-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,Yes,No,"(78.55, 88.6]",No,e7b5d2f4-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8176f1e-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,No,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,Yes,Yes,No,Male,Yes,Yes,"(78.55, 88.6]",Yes,f5351886-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,No,Yes,No,No,One year,Yes,"(50.4, 57.6]",DSL,No,Yes,No,Male,No,No,"(58.45, 68.5]",No,f9585c98-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,No,No phone service,Yes,No,Two year,No,"(64.8, 72.0]",DSL,Yes,Yes,No,Female,No,No,"(28.3, 38.35]",No,f9550a7a-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(7.2, 14.4]",DSL,No,No,Yes,Male,Yes,No,"(58.45, 68.5]",Yes,fa410b6e-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,No,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",DSL,No,No,Yes,Male,Yes,No,"(48.4, 58.45]",No,f6778210-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,No,No,Two year,Yes,"(43.2, 50.4]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,fd374b44-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,No,Yes,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,Yes,No,Yes,Male,Yes,No,"(88.6, 98.65]",No,f0aecef6-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No internet service,No internet service,No,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f77762d4-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,Yes,No,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,No,No,Male,Yes,Yes,"(98.65, 108.7]",Yes,fddc149e-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,One year,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7bb1728-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,Yes,No,One year,Yes,"(28.8, 36.0]",No,Yes,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f78b611c-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,No,No,No,Two year,Yes,"(21.6, 28.8]",Fiber optic,No,Yes,No,Male,Yes,No,"(98.65, 108.7]",Yes,f61d1640-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,Yes,No,No,Female,No,No,"(38.35, 48.4]",No,e824d398-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,No,No,Month-to-month,Yes,"(28.8, 36.0]",Fiber optic,No,No,Yes,Female,No,No,"(78.55, 88.6]",No,f8f1230c-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,No,No,One year,Yes,"(21.6, 28.8]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8103bfe-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,Yes,No,Two year,Yes,"(64.8, 72.0]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7cca088-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,Yes,Yes,No,One year,Yes,"(50.4, 57.6]",Fiber optic,No,Yes,Yes,Female,Yes,Yes,"(108.7, 118.75]",Yes,e86eb8f0-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,Yes,No,No,Two year,Yes,"(57.6, 64.8]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e9a95b44-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e84b7bd8-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7ec10a8-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No phone service,No,No,Month-to-month,No,"(7.2, 14.4]",DSL,Yes,No,No,Male,No,No,"(18.148999999999997, 28.3]",No,f21877e2-773a-11ec-b2a1-acde48001122,1
Electronic check,Yes,No,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,Yes,Male,No,No,"(48.4, 58.45]",No,f0eaeb0c-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,No,Yes,Yes,Month-to-month,Yes,"(43.2, 50.4]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,f6fa8278-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No,Yes,No,One year,Yes,"(36.0, 43.2]",Fiber optic,No,No,No,Male,No,Yes,"(78.55, 88.6]",No,ecc0959a-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7c4c4e4-773a-11ec-b2a1-acde48001122,0
Mailed check,No,Yes,No phone service,No,No,Month-to-month,No,"(7.2, 14.4]",DSL,No,No,No,Male,No,No,"(28.3, 38.35]",No,eeda7738-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,e9b1c716-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,Yes,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Female,No,No,"(78.55, 88.6]",Yes,eba9c276-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No phone service,No,No,Month-to-month,No,"(7.2, 14.4]",DSL,No,No,No,Female,No,Yes,"(28.3, 38.35]",No,ec0117a6-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,Yes,Yes,Yes,No,Two year,Yes,"(57.6, 64.8]",DSL,No,No,Yes,Male,No,No,"(68.5, 78.55]",Yes,ef3c5f2a-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,No,No,One year,Yes,"(28.8, 36.0]",DSL,No,No,Yes,Female,Yes,No,"(78.55, 88.6]",Yes,f8e7a674-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7a8c23a-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,No,No,Yes,No,One year,Yes,"(50.4, 57.6]",DSL,No,Yes,Yes,Female,No,Yes,"(58.45, 68.5]",No,f3ebc3b2-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,Yes,Female,No,No,"(48.4, 58.45]",No,f0c9371e-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,No,Yes,No,Male,No,Yes,"(68.5, 78.55]",No,fad6be66-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,No,Yes,No,One year,Yes,"(28.8, 36.0]",Fiber optic,Yes,No,Yes,Male,No,No,"(78.55, 88.6]",Yes,f6f61f76-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7aedff8-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,No,No,One year,Yes,"(50.4, 57.6]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f7c05fca-773a-11ec-b2a1-acde48001122,0
Electronic check,No internet service,No internet service,No,No,No,One year,Yes,"(7.2, 14.4]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e9c6b400-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,Yes,No,"(88.6, 98.65]",Yes,e81215c8-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,e7ae0222-773a-11ec-b2a1-acde48001122,1
Electronic check,Yes,No,Yes,Yes,No,One year,Yes,"(57.6, 64.8]",DSL,No,Yes,Yes,Female,No,No,"(58.45, 68.5]",Yes,f0393bc8-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,Yes,No,No,Month-to-month,Yes,"(43.2, 50.4]",Fiber optic,No,Yes,Yes,Male,Yes,No,"(98.65, 108.7]",Yes,f85773d8-773a-11ec-b2a1-acde48001122,0
Mailed check,No,Yes,No,Yes,No,Month-to-month,Yes,"(14.4, 21.6]",DSL,Yes,Yes,Yes,Male,No,Yes,"(68.5, 78.55]",Yes,eeca0f60-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,Yes,Month-to-month,Yes,"(36.0, 43.2]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,ebaf471e-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,Yes,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,Yes,No,No,Male,Yes,No,"(98.65, 108.7]",Yes,eac39238-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No internet service,No internet service,No,No,No,Month-to-month,Yes,"(14.4, 21.6]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8547a44-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No phone service,No,No,Month-to-month,No,"(-0.073, 7.2]",DSL,No,No,Yes,Male,Yes,Yes,"(48.4, 58.45]",Yes,f212411a-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,Yes,No,No,Yes,Month-to-month,Yes,"(64.8, 72.0]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,f80768c0-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,No,No,No,Month-to-month,Yes,"(21.6, 28.8]",DSL,No,No,No,Female,No,Yes,"(48.4, 58.45]",No,f12a391a-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,Yes,No,No,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,f1ef0b3c-773a-11ec-b2a1-acde48001122,1
Electronic check,Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,No,Female,Yes,Yes,"(108.7, 118.75]",Yes,f2d68fc0-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,Yes,Yes,Yes,Female,No,No,"(48.4, 58.45]",No,f190548e-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",DSL,No,No,Yes,Female,No,No,"(38.35, 48.4]",No,fa6600ea-773a-11ec-b2a1-acde48001122,1
Electronic check,Yes,No,Yes,Yes,No,One year,Yes,"(50.4, 57.6]",Fiber optic,No,No,Yes,Male,Yes,No,"(98.65, 108.7]",Yes,f03a46a8-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,No,No,Yes,No,One year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Female,Yes,Yes,"(98.65, 108.7]",Yes,f99529ac-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,Yes,Month-to-month,Yes,"(28.8, 36.0]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(88.6, 98.65]",Yes,ed5a1756-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,Yes,Yes,No,Two year,Yes,"(50.4, 57.6]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8230b58-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,Yes,Yes,No,No,Two year,Yes,"(64.8, 72.0]",DSL,No,Yes,Yes,Female,Yes,No,"(78.55, 88.6]",Yes,ef649e90-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,No,No,No,No,Month-to-month,Yes,"(7.2, 14.4]",DSL,No,Yes,No,Male,No,No,"(58.45, 68.5]",Yes,efc1eafa-773a-11ec-b2a1-acde48001122,0
Mailed check,No,Yes,No phone service,Yes,No,One year,No,"(43.2, 50.4]",DSL,No,No,No,Female,No,Yes,"(28.3, 38.35]",No,eeb8a612-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,Yes,No,Yes,Female,Yes,Yes,"(78.55, 88.6]",Yes,fb5f317e-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,Yes,No,Two year,Yes,"(43.2, 50.4]",No,No,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f3bc9c5e-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,Yes,No,No,One year,Yes,"(64.8, 72.0]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f3d1bb8e-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,No,No,Month-to-month,Yes,"(28.8, 36.0]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,fe4a0a94-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,No,Male,Yes,Yes,"(108.7, 118.75]",Yes,e83b5d7a-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,e7c054e0-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,Yes,Yes,No,No,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Female,Yes,No,"(98.65, 108.7]",Yes,f864b4c6-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,Yes,No,No,Month-to-month,Yes,"(21.6, 28.8]",DSL,No,Yes,Yes,Female,No,No,"(48.4, 58.45]",No,fc5c1b8c-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,No,No,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,No,Female,No,No,"(68.5, 78.55]",No,f6ae3634-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,No,Yes,One year,Yes,"(57.6, 64.8]",Fiber optic,No,No,Yes,Female,Yes,No,"(98.65, 108.7]",Yes,eada9352-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,Yes,Yes,No,Month-to-month,Yes,"(50.4, 57.6]",Fiber optic,Yes,No,Yes,Female,No,Yes,"(88.6, 98.65]",Yes,f07462ca-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,No,No,No,Two year,Yes,"(57.6, 64.8]",DSL,No,Yes,No,Male,Yes,Yes,"(68.5, 78.55]",No,f70d7b3a-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,Yes,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,e9509ee6-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,No,Yes,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,e8950172-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),Yes,No,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,Yes,No,"(78.55, 88.6]",No,f43524c6-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,Yes,Yes,No,No,Month-to-month,Yes,"(14.4, 21.6]",DSL,No,No,Yes,Male,No,Yes,"(68.5, 78.55]",Yes,f82531e8-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,Yes,Yes,Yes,Female,Yes,No,"(78.55, 88.6]",Yes,e88cf306-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,e93be000-773a-11ec-b2a1-acde48001122,1
Mailed check,No,No,Yes,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,Yes,Yes,Male,Yes,No,"(58.45, 68.5]",No,f1dc4254-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,Yes,No,Month-to-month,Yes,"(57.6, 64.8]",Fiber optic,No,Yes,Yes,Female,Yes,Yes,"(108.7, 118.75]",Yes,e9a3e2a4-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,Yes,No,No,Month-to-month,Yes,"(36.0, 43.2]",DSL,No,No,Yes,Female,No,Yes,"(58.45, 68.5]",No,f57aca48-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,Yes,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,No,Male,No,No,"(68.5, 78.55]",No,ebc27be0-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,No phone service,Yes,No,Two year,No,"(57.6, 64.8]",DSL,Yes,Yes,No,Female,No,Yes,"(48.4, 58.45]",Yes,ea7a04e2-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,Yes,No,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,Yes,Yes,Male,Yes,No,"(88.6, 98.65]",Yes,f1f12070-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,Yes,Female,No,No,"(48.4, 58.45]",Yes,e7defd82-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,Yes,Yes,Female,No,No,"(48.4, 58.45]",No,e91b685c-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,No,No,No,One year,Yes,"(28.8, 36.0]",DSL,No,No,Yes,Male,Yes,No,"(58.45, 68.5]",Yes,f66a81c8-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No,No,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,ec863bac-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,Yes,Yes,No,One year,Yes,"(57.6, 64.8]",No,Yes,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,edee7130-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,No,No,Two year,Yes,"(28.8, 36.0]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e941473e-773a-11ec-b2a1-acde48001122,0
